Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
25.0,13818.0,860000.0,TS_Lin_MSE,0.02,58336,1529488423.0,0.0001,0.02,0.0023912092696258313,0.0006822725071500619
25.0,14172.0,870000.0,TS_Lin_MSE,0.02,58336,1529488503.0,0.0001,0.02,0.0012965245802989717,0.0006893328758069461
27.0,14486.0,880000.0,TS_Lin_MSE,0.02,58336,1529488582.0,0.0001,0.02,0.001398296663577244,0.0006973892824861608
28.0,14822.0,890000.0,TS_Lin_MSE,0.02,58336,1529488662.0,0.0001,0.02,0.0015958389355582323,0.0007074842224083183
28.0,15174.0,900000.0,TS_Lin_MSE,0.02,58336,1529488741.0,0.0001,0.02,0.0019914402796610375,0.0007217504008222369
29.0,15462.0,910000.0,TS_Lin_MSE,0.02,58336,1529488819.0,0.0001,0.02,0.0015982996658243133,0.000731382810327754
29.0,15498.0,920000.0,TS_Lin_MSE,0.02,58336,1529488893.0,0.0001,0.02,0.0011992705182846792,0.0007364685462838057
29.0,15538.0,930000.0,TS_Lin_MSE,0.02,58336,1529488965.0,0.0001,0.02,0.0011966902765846005,0.0007414171670397244
29.0,15575.0,940000.0,TS_Lin_MSE,0.02,58336,1529489033.0,0.0001,0.02,0.0012991292945168846,0.0007473502747788376
29.0,15601.0,950000.0,TS_Lin_MSE,0.02,58336,1529489099.0,0.0001,0.02,0.0008988667866588198,0.0007489451854302081
29.0,15634.0,960000.0,TS_Lin_MSE,0.02,58336,1529489162.0,0.0001,0.02,0.000701172015716309,0.0007484475482456883
29.0,15658.0,970000.0,TS_Lin_MSE,0.02,58336,1529489226.0,0.0001,0.02,0.0009992013008825098,0.0007510326384790571
29.0,15691.0,980000.0,TS_Lin_MSE,0.02,58336,1529489288.0,0.0001,0.02,0.0015988083460334516,0.0007596834110051198
30.0,15729.0,990000.0,TS_Lin_MSE,0.02,58336,1529489350.0,0.0001,0.02,0.0018931877590423567,0.0007711329498741825
30.0,15757.0,1000000.0,TS_Lin_MSE,0.02,58336,1529489410.0,0.0001,0.02,0.001795858344553776,0.0007813802038209747
30.0,15792.0,1010000.0,TS_Lin_MSE,0.02,58336,1529489472.0,0.0001,0.02,0.002093082773676807,0.0007943673579779593
30.0,15832.0,1020000.0,TS_Lin_MSE,0.02,58336,1529489534.0,0.0001,0.02,0.0022937555122652413,0.0008090672418435224
31.0,15876.0,1030000.0,TS_Lin_MSE,0.02,58336,1529489596.0,0.0001,0.02,0.0012964135395709942,0.0008137987592971909
31.0,15901.0,1040000.0,TS_Lin_MSE,0.02,58336,1529489659.0,0.0001,0.02,0.002290133226814172,0.0008279942830233097
31.0,15932.0,1050000.0,TS_Lin_MSE,0.02,58336,1529489721.0,0.0001,0.02,0.001596250700928668,0.0008353110108128729
33.0,15962.0,1060000.0,TS_Lin_MSE,0.02,58336,1529489782.0,0.0001,0.02,0.0016946310650590938,0.0008434178037774601
33.0,15990.0,1070000.0,TS_Lin_MSE,0.02,58336,1529489846.0,0.0001,0.02,0.0008006499203215091,0.0008430181039320773
33.0,16018.0,1080000.0,TS_Lin_MSE,0.02,58336,1529489910.0,0.0001,0.02,0.0012989120621366074,0.0008472393442858229
33.0,16044.0,1090000.0,TS_Lin_MSE,0.02,58336,1529489972.0,0.0001,0.02,0.0015991842994799073,0.0008541379218564107
33.0,16074.0,1100000.0,TS_Lin_MSE,0.02,58336,1529490034.0,0.0001,0.02,0.0014960873616750902,0.0008599738258547618
33.0,16101.0,1110000.0,TS_Lin_MSE,0.02,58336,1529490096.0,0.0001,0.02,0.0007001240169701158,0.0008585337374864269
33.0,16124.0,1120000.0,TS_Lin_MSE,0.02,58336,1529490158.0,0.0001,0.02,0.0010980506276608043,0.0008606722811486938
33.0,16162.0,1130000.0,TS_Lin_MSE,0.02,58336,1529490220.0,0.0001,0.02,0.001497322295262515,0.0008663063520700548
33.0,16195.0,1140000.0,TS_Lin_MSE,0.02,58336,1529490283.0,0.0001,0.02,0.0008992226482159282,0.0008665950915099233
34.0,16222.0,1150000.0,TS_Lin_MSE,0.02,58336,1529490346.0,0.0001,0.02,0.0010967175229001389,0.000868596156130711
34.0,16241.0,1160000.0,TS_Lin_MSE,0.02,58336,1529490408.0,0.0001,0.02,0.0011997277812891925,0.0008714507391062146
34.0,16273.0,1170000.0,TS_Lin_MSE,0.02,58336,1529490471.0,0.0001,0.02,0.0006997848267459772,0.0008699835090860473
35.0,16297.0,1180000.0,TS_Lin_MSE,0.02,58336,1529490534.0,0.0001,0.02,0.00189417683446692,0.0008786631135384388
35.0,16324.0,1190000.0,TS_Lin_MSE,0.02,58336,1529490599.0,0.0001,0.02,0.002195365696638889,0.0008897278411275222
36.0,16352.0,1200000.0,TS_Lin_MSE,0.02,58336,1529490664.0,0.0001,0.02,0.001496432650615837,0.000894783714539926
36.0,16384.0,1210000.0,TS_Lin_MSE,0.02,58336,1529490730.0,0.0001,0.02,0.001498711819200815,0.0008997748559007548
36.0,16415.0,1220000.0,TS_Lin_MSE,0.02,58336,1529490795.0,0.0001,0.02,0.0016978221162369412,0.0009063162268871249
36.0,16443.0,1230000.0,TS_Lin_MSE,0.02,58336,1529490860.0,0.0001,0.02,0.0014949309606527353,0.0009111017125275017
36.0,16471.0,1240000.0,TS_Lin_MSE,0.02,58336,1529490923.0,0.0001,0.02,0.0018971636898771713,0.000919053825248068
36.0,16513.0,1250000.0,TS_Lin_MSE,0.02,58336,1529490984.0,0.0001,0.02,0.0015990581652836715,0.0009244938599683582
36.0,16539.0,1260000.0,TS_Lin_MSE,0.02,58336,1529491047.0,0.0001,0.02,0.0015952764739087008,0.0009298175315075773
36.0,16565.0,1270000.0,TS_Lin_MSE,0.02,58336,1529491110.0,0.0001,0.02,0.0021948955191829476,0.0009397787755050323
37.0,16595.0,1280000.0,TS_Lin_MSE,0.02,58336,1529491174.0,0.0001,0.02,0.0016951611654362,0.0009456802004263755
37.0,16632.0,1290000.0,TS_Lin_MSE,0.02,58336,1529491238.0,0.0001,0.02,0.0012994994681608512,0.0009484229854475808
37.0,16653.0,1300000.0,TS_Lin_MSE,0.02,58336,1529491304.0,0.0001,0.02,0.0011013937244578626,0.0009495996834399667
38.0,16679.0,1310000.0,TS_Lin_MSE,0.02,58336,1529491370.0,0.0001,0.02,0.001696551462332561,0.0009553016054162436
39.0,16688.0,1320000.0,TS_Lin_MSE,0.02,58336,1529491436.0,0.0001,0.02,0.0016940615888038789,0.0009608982719570606
39.0,16716.0,1330000.0,TS_Lin_MSE,0.02,58336,1529491503.0,0.0001,0.02,0.0011970655099812785,0.0009626739654760379
39.0,16756.0,1340000.0,TS_Lin_MSE,0.02,58336,1529491568.0,0.0001,0.02,0.0016958408914788613,0.0009681453604462088
39.0,16788.0,1350000.0,TS_Lin_MSE,0.02,58336,1529491638.0,0.0001,0.02,0.0012995165855321479,0.0009705999621135174
