Clicks,Impressions,TotalImpressions,Method,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
0,541,130000,Random,1534230240000,0.0,0.0,0.326,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,12,0.2,0.2,0.0,0.2
0,2479,140000,Random,1534231360000,0.0,0.0,0.331,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,12,0.2,0.2,0.0,0.2
2,4577,150000,Random,1534232397000,0.000437,0.000437,0.334,3.01e+04,0.00044,inf,0.167,0.0,0.833,1.0,0.167,2.21e+02,-2.2e+02,12,0.2,0.2,0.0,0.2
2,6582,160000,Random,1534233386000,0.000304,0.000304,0.335,3.02e+04,0.000367,inf,0.143,0.0,0.857,1.0,0.143,2.67e+02,-2.66e+02,12,0.2,0.2,0.0,0.2
2,8668,170000,Random,1534234592000,0.000231,0.000231,0.335,3.02e+04,0.000351,inf,0.118,0.0,0.882,1.0,0.118,2.85e+02,-2.84e+02,12,0.2,0.2,0.0,0.2
2,10743,180000,Random,1534235900000,0.000186,0.000186,0.336,3.02e+04,0.00036,inf,0.0952,0.0,0.905,1.0,0.0952,2.85e+02,-2.84e+02,12,0.2,0.2,0.0,0.2
2,12653,190000,Random,1534237228000,0.000158,0.000158,0.334,3e+04,0.000367,inf,0.08,0.0,0.92,1.0,0.08,2.84e+02,-2.83e+02,12,0.2,0.2,0.0,0.2
2,14757,200000,Random,1534238550000,0.000136,0.000136,0.335,3.01e+04,0.000344,inf,0.0741,0.0,0.926,1.0,0.0741,3.03e+02,-3.02e+02,12,0.2,0.2,0.0,0.2
2,16795,210000,Random,1534239806000,0.000119,0.000119,0.335,3.01e+04,0.000399,inf,0.0571,0.0,0.943,1.0,0.0571,2.7e+02,-2.69e+02,12,0.2,0.2,0.0,0.2
2,18788,220000,Random,1534241076000,0.000106,0.000106,0.334,3.01e+04,0.000377,inf,0.0541,0.0,0.946,1.0,0.0541,2.84e+02,-2.83e+02,12,0.2,0.2,0.0,0.2
4,20765,230000,Random,1534242106000,0.000193,0.000193,0.334,3.01e+04,0.00038,inf,0.093,0.0,0.907,1.0,0.093,2.72e+02,-2.71e+02,12,0.2,0.2,0.0,0.2
4,22732,240000,Random,1534243147000,0.000176,0.000176,0.334,3.01e+04,0.000346,inf,0.093,0.0,0.907,1.0,0.093,2.96e+02,-2.95e+02,12,0.2,0.2,0.0,0.2
4,24684,250000,Random,1534244177000,0.000162,0.000162,0.334,3.01e+04,0.00035,inf,0.0851,0.0,0.915,1.0,0.0851,2.95e+02,-2.94e+02,12,0.2,0.2,0.0,0.2
