Local,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,919597,1534230000000,2080834,5020215,1281906,1865594,1717762,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,919597,1534230000000,2080834,5020215,1281906,1865594,1717762,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,2159970,1534251600000,1978367,4389343,1030654,1775868,1551707,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,2159970,1534251600000,1978367,4389343,1030654,1775868,1551707,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,2912107,1534273200000,1922170,4095556,794619,1640922,1520536,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,2912107,1534273200000,1922170,4095556,794619,1640922,1520536,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,3176462,1534283997000,1908744,3971248,716059,1611135,1502262,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,3176462,1534283997000,1908744,3971248,716059,1611135,1502262,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,3361164,1534305600000,1903233,3897638,667496,1563710,1492670,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,3361164,1534305600000,1903233,3897638,667496,1563710,1492670,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,4267029,1534327200000,1873581,3571962,310510,1402163,1460667,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,4267029,1534327200000,1873581,3571962,310510,1402163,1460667,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,5314011,1534348800000,1795082,3110361,425,1248511,1417523,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,5314011,1534348800000,1795082,3110361,425,1248511,1417523,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,5726250,1534363199000,1751213,2847305,0,1168169,1399562,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,5726250,1534363199000,1751213,2847305,-6586,1168169,1399562,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,5979990,1534384801000,1725433,2701835,0,1140839,1344403,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,5979990,1534384801000,1725433,2701835,-6586,1140839,1344403,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,6734652,1534406401000,1612135,2220122,0,1058512,1267080,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,6734652,1534406401000,1612135,2220122,-6586,1058512,1267080,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,7863533,1534428001000,1466692,1506951,0,888674,1166652,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,7863533,1534428001000,1466692,1506951,-6586,888674,1166652,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,8560378,1534449599000,1392061,1042006,0,789570,1108487,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,8560378,1534449599000,1392061,1042006,-6586,789570,1108487,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,8811097,1534471200000,1332282,950052,0,715280,1083792,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,8811097,1534471200000,1332282,950052,-6586,715280,1083792,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,9572684,1534492800000,1232891,653525,0,431561,1001843,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,9572684,1534492800000,1232891,653525,-6586,431561,1001843,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,10549106,1534514400000,1094561,262295,0,63790,922753,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,10549106,1534514400000,1094561,262295,-6586,63790,922753,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,11220337,1534536000000,1005757,0,0,0,824078,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,11220337,1534536000000,1005757,-30246,-6586,-127420,824078,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,11331020,1534539599000,961523,0,0,0,757629,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,11331020,1534539599000,961523,-30246,-6586,-127420,757629,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,11538116,1534561200000,884602,0,0,0,627455,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,11538116,1534561200000,884602,-30246,-6586,-127420,627455,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,12131153,1534582800000,627312,0,0,0,291709,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,12131153,1534582800000,627312,-30246,-6586,-127420,291709,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,12921745,1534604400000,53486,0,0,0,75016,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,12921745,1534604400000,53486,-30246,-6658,-127420,75016,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,13594727,1534626000000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,13594727,1534626000000,-184890,-30246,-8430,-127420,-357817,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,13646663,1534629599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,13646663,1534629599000,-186278,-37379,-48602,-130559,-357921,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,13812775,1534651200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,13812775,1534651200000,-192854,-57381,-178065,-138467,-360083,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,14433317,1534672800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,14433317,1534672800000,-221233,-146229,-628644,-181764,-369521,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,15170226,1534694400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,15170226,1534694400000,-252668,-250050,-1153091,-221377,-407113,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,15782548,1534712399000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Global,15782548,1534712399000,-279877,-335896,-1590271,-258692,-431885,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight
Local,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,919597,1534230000000,2084303,5015363,1289802,1850270,1726573,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,919597,1534230000000,2084303,5015363,1289802,1850270,1726573,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,2159970,1534251600000,1820914,4539190,989405,1770222,1606208,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,2159970,1534251600000,1820914,4539190,989405,1770222,1606208,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,2912107,1534273200000,1792203,4223861,722520,1657113,1578106,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,2912107,1534273200000,1792203,4223861,722520,1657113,1578106,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,3176462,1534283997000,1775624,4099957,640389,1629071,1564407,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,3176462,1534283997000,1775624,4099957,640389,1629071,1564407,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,3361164,1534305600000,1769280,4044835,577601,1604721,1528310,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,3361164,1534305600000,1769280,4044835,577601,1604721,1528310,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,4267029,1534327200000,1721022,3752649,266569,1388166,1490477,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,4267029,1534327200000,1721022,3752649,266569,1388166,1490477,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,5314011,1534348800000,1699163,3269590,0,1228349,1446089,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,5314011,1534348800000,1699163,3269590,-71289,1228349,1446089,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,5726250,1534363199000,1678018,3019547,0,1116355,1417032,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,5726250,1534363199000,1678018,3019547,-71289,1116355,1417032,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,5979990,1534384801000,1650478,2907744,0,1051218,1367773,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,5979990,1534384801000,1650478,2907744,-71289,1051218,1367773,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,6734652,1534406401000,1606808,2474529,0,897535,1243680,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,6734652,1534406401000,1606808,2474529,-71289,897535,1243680,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,7863533,1534428001000,1523847,1738322,0,699122,1132381,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,7863533,1534428001000,1523847,1738322,-71289,699122,1132381,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,8560378,1534449599000,1465946,1277632,0,590939,1062310,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,8560378,1534449599000,1465946,1277632,-71289,590939,1062310,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,8811097,1534471200000,1451788,1148865,0,554053,991403,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,8811097,1534471200000,1451788,1148865,-71289,554053,991403,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,9572684,1534492800000,1410527,690759,0,418880,864357,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,9572684,1534492800000,1410527,690759,-71289,418880,864357,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,10549106,1534514400000,1325867,122262,0,230217,729756,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,10549106,1534514400000,1325867,122262,-71289,230217,729756,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,11220337,1534536000000,1246195,0,0,79880,600621,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,11220337,1534536000000,1246195,-189824,-71289,79880,600621,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,11331020,1534539599000,1220639,0,0,29981,565393,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,11331020,1534539599000,1220639,-189824,-71289,29981,565393,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,11538116,1534561200000,1172926,0,0,0,481207,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,11538116,1534561200000,1172926,-189824,-71289,-45215,481207,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,12131153,1534582800000,876501,0,0,0,184596,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,12131153,1534582800000,876501,-189824,-71289,-45215,184596,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,12921745,1534604400000,304496,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,12921745,1534604400000,304496,-189824,-71295,-45215,-33984,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,13594727,1534626000000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,13594727,1534626000000,-367238,-189824,-72542,-45215,-33984,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,13646663,1534629599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,13646663,1534629599000,-368455,-200398,-109965,-47447,-34474,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,13812775,1534651200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,13812775,1534651200000,-373388,-223895,-235631,-53806,-40130,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,14433317,1534672800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
