Type,Timestamp,TotalImpressions,866128,856805,847460,858140,865041,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,CropPercent,NormalizeTargetValue,TrainPart,RecommendationPart,SimulationType
Local,8596528,1534450658000,199756,313801,0,0,180022,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,8596528,1534450658000,622014,962761,-995876,24792,543221,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,8811097,1534471200000,122735,217018,0,0,150861,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,8811097,1534471200000,544993,865978,-1000490,17803,514060,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,9194876,1534486232000,57468,0,0,0,89856,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,9194876,1534486232000,479726,648960,-1017647,-5529,453055,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,9450130,1534490667000,21358,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,9450130,1534490667000,443616,618921,-1071143,-51282,363199,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,9530578,1534492008000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,9530578,1534492008000,422258,602457,-1095971,-68541,362660,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,9572684,1534492800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,9572684,1534492800000,419438,592210,-1112007,-79967,361084,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,10549106,1534514400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,10549106,1534514400000,338873,362421,-1488125,-330195,321363,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,11220337,1534536000000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,11220337,1534536000000,265222,234597,-1719058,-543005,295351,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,11331020,1534539599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,11331020,1534539599000,249799,211226,-1754778,-574334,290511,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,11499593,1534556091000,96377,0,0,0,127203,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,11499593,1534556091000,221277,105613,-1767003,-578495,272459,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,11538116,1534561200000,80719,0,0,0,114869,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,11538116,1534561200000,205619,103612,-1774892,-579135,260125,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,11736392,1534572375000,0,0,0,0,67600,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,11736392,1534572375000,124900,91181,-1828499,-583385,212856,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,11866817,1534576028000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,11866817,1534576028000,124136,82009,-1878241,-586532,145256,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,12131153,1534582800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,12131153,1534582800000,106220,39044,-2060429,-606307,143765,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,12921745,1534604400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,12921745,1534604400000,50913,-94169,-2598327,-664945,138230,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,13594727,1534626000000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,13594727,1534626000000,5496,-198037,-3061004,-720192,132458,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,13646663,1534629599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,13646663,1534629599000,2739,-205662,-3097597,-724534,131839,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,13656275,1534629818000,0,0,0,0,128814,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,13656275,1534629818000,0,-206175,-3100803,-724663,128814,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,13812775,1534651200000,0,0,0,0,27401,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,13812775,1534651200000,-2299,-213962,-3143147,-727319,27401,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,13847321,1534653954000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,13847321,1534653954000,-2467,-215356,-3148511,-727538,0,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,14433317,1534672800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,14433317,1534672800000,-59219,-283583,-3569474,-756899,-10692,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,15170226,1534694400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,15170226,1534694400000,-131577,-352799,-4073080,-825659,-33660,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,15782548,1534712399000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,15782548,1534712399000,-200921,-411543,-4487013,-876478,-53142,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,356003,1534208400000,348236,850398,264502,335016,290164,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,919597,1534230000000,292283,625689,127568,229279,249904,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,919597,1534230000000,2033466,4877680,1450078,1904363,1700724,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,1270322,1534236765000,235165,580174,0,148181,210478,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,1270322,1534236765000,1976348,4832165,1322510,1823265,1661298,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,1630851,1534242269000,194165,478861,0,0,140443,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,1630851,1534242269000,1935348,4730852,1322510,1675084,1591263,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,2159970,1534251600000,59934,202746,0,0,21671,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,2159970,1534251600000,1801117,4454737,1322510,1675084,1472491,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,2337508,1534255800000,18003,88810,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,2337508,1534255800000,1759186,4340801,1322510,1675084,1450820,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,2400241,1534257564000,0,44080,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,2400241,1534257564000,1741183,4296071,1322510,1675084,1450820,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,2444321,1534258756000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,2444321,1534258756000,1741183,4251991,1322510,1675084,1450820,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,2912107,1534273200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,2912107,1534273200000,1708868,4182502,1075851,1573137,1433445,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,3176462,1534283997000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,3176462,1534283997000,1689182,4130170,946934,1529712,1413450,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,3361164,1534305600000,316340,766654,140961,264360,268872,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,3361164,1534305600000,1667686,4070790,898509,1488130,1399632,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,3717793,1534315848000,302013,674115,0,181502,242928,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,3717793,1534315848000,1653359,3978251,757548,1405272,1373688,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,4072578,1534323458000,280845,542477,0,0,222451,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,4072578,1534323458000,1632191,3846613,757548,1223770,1353211,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,4267029,1534327200000,261893,434485,0,0,154945,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,4267029,1534327200000,1613239,3738621,757548,1223770,1285705,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,4995705,1534340238000,106850,0,0,0,15797,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,4995705,1534340238000,1458196,3304136,757548,1223770,1146557,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,5071539,1534341789000,46813,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,5071539,1534341789000,1398159,3304136,757548,1223770,1130760,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,5118352,1534342985000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,5118352,1534342985000,1351346,3304136,757548,1223770,1130760,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,5314011,1534348800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,5314011,1534348800000,1335314,3274411,656511,1177218,1128448,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,5726250,1534363199000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,5726250,1534363199000,1297688,3201235,470845,1066458,1123437,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,5979990,1534384801000,296152,709139,53752,232574,244558,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,5979990,1534384801000,1269418,3110066,406886,1032418,1087136,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,6237608,1534396671000,280894,599654,0,171106,226903,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,6237608,1534396671000,1254160,3000581,353134,970950,1069481,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,6675775,1534405296000,265120,399950,0,0,175320,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,6675775,1534405296000,1238386,2800877,353134,799844,1017898,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,6734652,1534406401000,255700,365274,0,0,160540,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,6734652,1534406401000,1228966,2766201,353134,799844,1003118,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,7354059,1534417630000,151600,0,0,0,10507,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,7354059,1534417630000,1124866,2400927,353134,799844,853085,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,7414355,1534418722000,101811,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,7414355,1534418722000,1075077,2400927,353134,799844,842578,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,7516166,1534420411000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,7516166,1534420411000,973266,2400927,353134,799844,842578,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,7863533,1534428001000,948004,2316926,205790,720931,830732,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,8560378,1534449599000,879245,2115184,-52584,577683,806010,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,8811097,1534471200000,210100,644576,0,98492,255487,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,8811097,1534471200000,796264,2054699,-52584,483614,792827,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,9057223,1534483207000,160890,573282,0,0,228357,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,9057223,1534483207000,747054,1983405,-52584,385122,765697,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,9572684,1534492800000,64936,315751,0,0,66382,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,9572684,1534492800000,651100,1725874,-52584,385122,603722,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,9807335,1534498158000,26027,186391,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,9807335,1534498158000,612191,1596514,-52584,385122,537340,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,9873493,1534499722000,0,146260,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,9873493,1534499722000,586164,1556383,-52584,385122,537340,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,10019767,1534502740000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,10019767,1534502740000,586164,1410123,-52598,385122,537340,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,10549106,1534514400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,10549106,1534514400000,536479,1326820,-310147,261222,522439,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,11220337,1534536000000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,11220337,1534536000000,461174,1229577,-587809,65865,496776,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,11331020,1534539599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,11331020,1534539599000,445569,1208482,-628040,36945,491944,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,11394803,1534543456000,215045,571045,0,0,241596,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,11394803,1534543456000,437830,1175286,-628040,18473,487568,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,11538116,1534561200000,189052,486057,0,0,209265,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,11538116,1534561200000,411837,1090298,-628040,18473,455237,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,12131153,1534582800000,56389,118503,0,0,116446,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,12131153,1534582800000,279174,722744,-628040,18473,362418,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,12338691,1534587855000,25564,0,0,0,58236,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,12338691,1534587855000,248349,604241,-628040,18473,304208,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,12420162,1534589874000,2329,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,12420162,1534589874000,225114,604241,-628040,18473,245972,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,12422495,1534589931000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,12422495,1534589931000,222785,604241,-628044,18473,245972,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,12921745,1534604400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,12921745,1534604400000,193646,529865,-966265,-35735,242667,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,13594727,1534626000000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,13594727,1534626000000,158871,460301,-1443349,-122023,237397,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,13646663,1534629599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,13646663,1534629599000,156904,453367,-1480402,-127465,236857,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,13812775,1534651200000,88847,397492,0,0,194678,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,13812775,1534651200000,88847,397492,-1480402,-127465,194678,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,14201126,1534665931000,0,205451,0,0,87215,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,14201126,1534665931000,0,205451,-1480402,-127465,87215,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,14377029,1534671050000,0,116763,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,14377029,1534671050000,0,116763,-1480402,-127465,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,14433317,1534672800000,0,60564,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,14433317,1534672800000,0,60564,-1480490,-127465,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,14494103,1534674665000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,14494103,1534674665000,0,0,-1480712,-127465,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,15170226,1534694400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,15170226,1534694400000,-49507,-54992,-1981897,-190113,-7790,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,15782548,1534712399000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,15782548,1534712399000,-117183,-113025,-2399303,-250341,-16769,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Local,356003,1534208400000,348236,850398,264502,335016,290164,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
Global,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.8,DAILY,1,True,0.0,False,0.0,0.0,Hindsight
