Type,Timestamp,TotalImpressions,866128,856805,847460,858140,865041,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart,SimulationType
Local,11331020,1534539599000,953566,2575162,0,0,707411,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,11331020,1534539599000,953566,2575162,-2522700,-158539,707411,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,11538116,1534561200000,933058,2534751,0,0,698542,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,11538116,1534561200000,933058,2534751,-2639590,-178956,698542,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,12131153,1534582800000,881599,2436894,0,0,686847,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,12131153,1534582800000,881599,2436894,-3018948,-231623,686847,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,12921745,1534604400000,828662,2302670,0,0,666782,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,12921745,1534604400000,828662,2302670,-3538656,-295280,666782,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,13594727,1534626000000,780841,2201584,0,0,648974,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,13594727,1534626000000,780841,2201584,-3990319,-349883,648974,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,13646663,1534629599000,778327,2193802,0,0,647146,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,13646663,1534629599000,778327,2193802,-4025535,-354479,647146,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,13812775,1534651200000,752677,2172382,0,0,636460,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,13812775,1534651200000,752677,2172382,-4118221,-370148,636460,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,14433317,1534672800000,705434,2080726,0,0,587480,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,14433317,1534672800000,705434,2080726,-4498586,-422445,587480,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,15170226,1534694400000,643167,1999798,0,0,521704,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,15170226,1534694400000,643167,1999798,-4961012,-487956,521704,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,15782548,1534712399000,576823,1926970,0,0,485850,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,15782548,1534712399000,576823,1926970,-5346427,-539837,485850,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,919597,1534230000000,2038012,4954051,1391490,1873696,1709062,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,919597,1534230000000,2038012,4954051,1391490,1873696,1709062,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,2159970,1534251600000,1959989,4724130,802166,1598674,1640980,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,2159970,1534251600000,1959989,4724130,802166,1598674,1640980,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,2912107,1534273200000,1880524,4554974,470407,1484666,1583232,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,2912107,1534273200000,1880524,4554974,470407,1484666,1583232,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,3176462,1534283997000,1858175,4496553,344952,1441285,1568483,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,3176462,1534283997000,1858175,4496553,344952,1441285,1568483,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,3361164,1534305600000,1831491,4434049,293251,1406050,1559906,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,3361164,1534305600000,1831491,4434049,293251,1406050,1559906,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,4267029,1534327200000,1801759,4206481,0,1226818,1528661,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,4267029,1534327200000,1801759,4206481,-144836,1226818,1528661,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,5314011,1534348800000,1758896,3975016,0,1059688,1472781,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,5314011,1534348800000,1758896,3975016,-694479,1059688,1472781,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,5726250,1534363199000,1723711,3884636,0,989190,1453309,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,5726250,1534363199000,1723711,3884636,-891183,989190,1453309,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,5979990,1534384801000,1691016,3788861,0,938636,1441784,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,5979990,1534384801000,1691016,3788861,-954373,938636,1441784,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,6734652,1534406401000,1662398,3494952,0,787587,1389326,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,6734652,1534406401000,1662398,3494952,-1183000,787587,1389326,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,7863533,1534428001000,1610089,3112306,0,600698,1319422,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,7863533,1534428001000,1610089,3112306,-1620132,600698,1319422,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,8560378,1534449599000,1539259,2870915,0,497556,1281808,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,8560378,1534449599000,1539259,2870915,-1864000,497556,1281808,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,8811097,1534471200000,1488216,2822000,0,433300,1271082,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,8811097,1534471200000,1488216,2822000,-1939778,433300,1271082,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,9572684,1534492800000,1441943,2649990,0,290927,1208084,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,9572684,1534492800000,1441943,2649990,-2277710,290927,1208084,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,10549106,1534514400000,1362537,2432678,0,91453,1149066,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,10549106,1534514400000,1362537,2432678,-2698921,91453,1149066,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,11220337,1534536000000,1302567,2313151,0,0,1092672,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,11220337,1534536000000,1302567,2313151,-2960210,-82597,1092672,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,11331020,1534539599000,1290666,2291604,0,0,1082806,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,11331020,1534539599000,1290666,2291604,-3000012,-110164,1082806,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,11538116,1534561200000,1268852,2250872,0,0,1076072,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,11538116,1534561200000,1268852,2250872,-3121227,-126764,1076072,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,12131153,1534582800000,1230766,2149585,0,0,1061104,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,12131153,1534582800000,1230766,2149585,-3526216,-160470,1061104,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,12921745,1534604400000,1187924,2015567,0,0,1044893,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,12921745,1534604400000,1187924,2015567,-4074333,-209873,1044893,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,13594727,1534626000000,1149862,1915655,0,0,1031715,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,13594727,1534626000000,1149862,1915655,-4545297,-260738,1031715,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,13646663,1534629599000,1147861,1908290,0,0,1030144,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,13646663,1534629599000,1147861,1908290,-4582161,-264873,1030144,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,13812775,1534651200000,1126603,1884700,0,0,1023107,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,13812775,1534651200000,1126603,1884700,-4686094,-275166,1023107,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,14433317,1534672800000,1070800,1801193,0,0,1001773,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,14433317,1534672800000,1070800,1801193,-5108882,-312275,1001773,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,15170226,1534694400000,994332,1718352,0,0,980938,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,15170226,1534694400000,994332,1718352,-5603245,-374676,980938,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,15782548,1534712399000,919088,1649352,0,0,963710,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Global,15782548,1534712399000,919088,1649352,-6010831,-417940,963710,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0,Hindsight
Local,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,919597,1534230000000,2028436,4967300,1420049,1845805,1704721,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,919597,1534230000000,2028436,4967300,1420049,1845805,1704721,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,2159970,1534251600000,1944829,4764858,809991,1558433,1647828,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,2159970,1534251600000,1944829,4764858,809991,1558433,1647828,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,2912107,1534273200000,1883650,4606168,443629,1433227,1607129,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,2912107,1534273200000,1883650,4606168,443629,1433227,1607129,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,3176462,1534283997000,1866628,4546417,300881,1396638,1598884,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,3176462,1534283997000,1866628,4546417,300881,1396638,1598884,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,3361164,1534305600000,1844257,4499904,204669,1378243,1597674,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,3361164,1534305600000,1844257,4499904,204669,1378243,1597674,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,4267029,1534327200000,1799307,4359721,0,1177202,1586315,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,4267029,1534327200000,1799307,4359721,-303662,1177202,1586315,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,5314011,1534348800000,1752114,4191912,0,951191,1566651,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,5314011,1534348800000,1752114,4191912,-889966,951191,1566651,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,5726250,1534363199000,1719323,4108840,0,878022,1559560,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,5726250,1534363199000,1719323,4108840,-1106082,878022,1559560,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,5979990,1534384801000,1694224,4021138,0,837885,1553916,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,5979990,1534384801000,1694224,4021138,-1201239,837885,1553916,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,6734652,1534406401000,1669271,3771964,0,672232,1532431,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,6734652,1534406401000,1669271,3771964,-1494635,672232,1532431,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,7863533,1534428001000,1633376,3406828,0,507467,1491336,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,7863533,1534428001000,1633376,3406828,-2016624,507467,1491336,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,8560378,1534449599000,1582116,3161836,0,408484,1468624,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,8560378,1534449599000,1582116,3161836,-2295522,408484,1468624,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,8811097,1534471200000,1538239,3120688,0,358819,1455416,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,8811097,1534471200000,1538239,3120688,-2398342,358819,1455416,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,9572684,1534492800000,1481700,3010080,0,218717,1422971,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,9572684,1534492800000,1481700,3010080,-2820234,218717,1422971,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,10549106,1534514400000,1403461,2827457,0,36933,1385666,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,10549106,1534514400000,1403461,2827457,-3316704,36933,1385666,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,11220337,1534536000000,1334996,2714795,0,0,1362945,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,11220337,1534536000000,1334996,2714795,-3608745,-138408,1362945,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,11331020,1534539599000,1321556,2693666,0,0,1358955,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,11331020,1534539599000,1321556,2693666,-3653671,-165606,1358955,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,11538116,1534561200000,1305352,2649751,0,0,1354027,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,11538116,1534561200000,1305352,2649751,-3776870,-184455,1354027,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,12131153,1534582800000,1280335,2546046,0,0,1343761,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,12131153,1534582800000,1280335,2546046,-4193264,-222109,1343761,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,12921745,1534604400000,1250165,2413584,0,0,1333598,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,12921745,1534604400000,1250165,2413584,-4751682,-281487,1333598,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,13594727,1534626000000,1223624,2311739,0,0,1325333,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,13594727,1534626000000,1223624,2311739,-5231653,-337846,1325333,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,13646663,1534629599000,1222125,2304275,0,0,1324404,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,13646663,1534629599000,1222125,2304275,-5269453,-342090,1324404,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,13812775,1534651200000,1205254,2279153,0,0,1316277,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,13812775,1534651200000,1205254,2279153,-5375856,-351678,1316277,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,14433317,1534672800000,1158017,2193624,0,0,1291546,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,14433317,1534672800000,1158017,2193624,-5803174,-387404,1291546,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,15170226,1534694400000,1101091,2107802,0,0,1261992,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,15170226,1534694400000,1101091,2107802,-6312326,-442858,1261992,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,15782548,1534712399000,1045086,2044635,0,0,1238792,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Global,15782548,1534712399000,1045086,2044635,-6732772,-492362,1238792,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0,Hindsight
Local,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,919597,1534230000000,2019311,4891897,1441725,1898002,1715376,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,919597,1534230000000,2019311,4891897,1441725,1898002,1715376,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,2159970,1534251600000,1937379,4623225,881672,1597780,1685883,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,2159970,1534251600000,1937379,4623225,881672,1597780,1685883,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,2912107,1534273200000,1869300,4418172,553371,1468128,1664832,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,2912107,1534273200000,1869300,4418172,553371,1468128,1664832,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,3176462,1534283997000,1849482,4345673,424308,1431046,1658939,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,3176462,1534283997000,1849482,4345673,424308,1431046,1658939,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,3361164,1534305600000,1824078,4296161,336344,1411560,1656604,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,3361164,1534305600000,1824078,4296161,336344,1411560,1656604,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,4267029,1534327200000,1793384,4117396,0,1176756,1646589,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,4267029,1534327200000,1793384,4117396,-115242,1176756,1646589,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,5314011,1534348800000,1751326,3899698,0,964964,1630325,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,5314011,1534348800000,1751326,3899698,-674411,964964,1630325,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,5726250,1534363199000,1724713,3791510,0,891767,1623992,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,5726250,1534363199000,1724713,3791510,-872319,891767,1623992,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,5979990,1534384801000,1700500,3694168,0,857602,1612531,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,5979990,1534384801000,1700500,3694168,-958877,857602,1612531,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,6734652,1534406401000,1676497,3391401,0,762686,1580536,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,6734652,1534406401000,1676497,3391401,-1259857,762686,1580536,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,7863533,1534428001000,1643041,2986524,0,630062,1525548,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,7863533,1534428001000,1643041,2986524,-1762792,630062,1525548,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,8560378,1534449599000,1605363,2702903,0,555772,1498266,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,8560378,1534449599000,1605363,2702903,-2036766,555772,1498266,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,8811097,1534471200000,1560025,2648854,0,516939,1489789,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,8811097,1534471200000,1560025,2648854,-2140787,516939,1489789,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,9572684,1534492800000,1512141,2477860,0,421389,1443461,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,9572684,1534492800000,1512141,2477860,-2541617,421389,1443461,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,10549106,1534514400000,1445237,2250594,0,265900,1389363,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,10549106,1534514400000,1445237,2250594,-3014281,265900,1389363,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,11220337,1534536000000,1393300,2119398,0,114950,1330218,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,11220337,1534536000000,1393300,2119398,-3292283,114950,1330218,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,11331020,1534539599000,1382810,2095251,0,90181,1321880,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,11331020,1534539599000,1382810,2095251,-3335222,90181,1321880,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,11538116,1534561200000,1362163,2045288,0,71257,1317709,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,11538116,1534561200000,1362163,2045288,-3448612,71257,1317709,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,12131153,1534582800000,1325545,1918874,0,29354,1308821,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,12131153,1534582800000,1325545,1918874,-3827825,29354,1308821,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,12921745,1534604400000,1286667,1762649,0,0,1297302,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,12921745,1534604400000,1286667,1762649,-4353503,-28937,1297302,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,13594727,1534626000000,1255869,1645657,0,0,1287333,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,13594727,1534626000000,1255869,1645657,-4812200,-85462,1287333,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,13646663,1534629599000,1253924,1636969,0,0,1286440,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,13646663,1534629599000,1253924,1636969,-4848372,-89700,1286440,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,13812775,1534651200000,1237154,1612033,0,0,1280209,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,13812775,1534651200000,1237154,1612033,-4956259,-99987,1280209,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,14433317,1534672800000,1202606,1523634,0,0,1259018,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,14433317,1534672800000,1202606,1523634,-5390822,-141827,1259018,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,15170226,1534694400000,1167517,1440552,0,0,1230111,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,15170226,1534694400000,1167517,1440552,-5910694,-211785,1230111,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Local,15782548,1534712399000,1125743,1366584,0,0,1210799,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
Global,15782548,1534712399000,1125743,1366584,-6341067,-258680,1210799,LinUCB_Disjoint_Multi,6,0.0001,0.0,0.0,0.0,Hindsight
