Type,Timestamp,TotalImpressions,866128,856805,847460,858140,865041,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart,SimulationType
Global,10549106,1534514400000,54220,3061323,-452999,-27965,-297766,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,11220337,1534536000000,0,2927648,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,11220337,1534536000000,-80048,2927648,-588133,-163209,-430675,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,11331020,1534539599000,0,2905639,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,11331020,1534539599000,-102300,2905639,-609983,-185092,-453364,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,11538116,1534561200000,0,2864072,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,11538116,1534561200000,-143613,2864072,-651355,-226518,-494781,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,12131153,1534582800000,0,2745647,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,12131153,1534582800000,-262156,2745647,-770107,-344676,-613939,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,12921745,1534604400000,0,2588083,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,12921745,1534604400000,-421626,2588083,-928482,-502667,-771130,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,13594727,1534626000000,0,2453198,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,13594727,1534626000000,-556746,2453198,-1062326,-637030,-905899,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,13646663,1534629599000,0,2442954,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,13646663,1534629599000,-567248,2442954,-1072696,-647437,-916312,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,13812775,1534651200000,0,2409706,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,13812775,1534651200000,-600208,2409706,-1106718,-680248,-949382,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,14433317,1534672800000,0,2286175,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,14433317,1534672800000,-725170,2286175,-1230699,-804520,-1073177,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,15170226,1534694400000,0,2138832,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,15170226,1534694400000,-871495,2138832,-1377306,-952516,-1221814,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,15782548,1534712399000,0,2016232,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Global,15782548,1534712399000,-994044,2016232,-1498580,-1075138,-1345091,Random_Multi,6,0.0,0.0,0.0,0.0,Lower
Local,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,919597,1534230000000,1975888,4990748,1474582,1896729,1628364,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,919597,1534230000000,1975888,4990748,1474582,1896729,1628364,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,2159970,1534251600000,1729353,4742317,1228285,1647059,1378925,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,2159970,1534251600000,1729353,4742317,1228285,1647059,1378925,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,2912107,1534273200000,1577267,4592487,1077879,1496248,1229922,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,2912107,1534273200000,1577267,4592487,1077879,1496248,1229922,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,3176462,1534283997000,1523563,4538939,1025533,1443927,1177486,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,3176462,1534283997000,1523563,4538939,1025533,1443927,1177486,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,3361164,1534305600000,1486624,4501409,989521,1407310,1139883,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,3361164,1534305600000,1486624,4501409,989521,1407310,1139883,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
