MSE,CumulativeMSE,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,TrainPart
7.81019462518198e-05,0.0017127729313198496,5746771.0,TS_Lin_GRS,0.02,58336,1529546508.0,0.0001,0.02
3.57910020665148e-09,0.0017139075992097382,5900095.0,TS_Lin_GRS,0.02,58336,1529551824.0,0.0001,0.02
3.547062567033668e-05,0.001703472266806365,6209782.0,TS_Lin_GRS,0.02,58336,1529555424.0,0.0001,0.02
2.127182330067459e-06,0.0016864638076093982,6680775.0,TS_Lin_GRS,0.02,58336,1529559024.0,0.0001,0.02
3.211566586542563e-05,0.0016691085426431315,7176667.0,TS_Lin_GRS,0.02,58336,1529562624.0,0.0001,0.02
3.665172312628676e-06,0.0016478630297929917,7721881.0,TS_Lin_GRS,0.02,58336,1529566224.0,0.0001,0.02
4.665156005099191e-05,0.0016414934599172798,7958157.0,TS_Lin_GRS,0.02,58336,1529569824.0,0.0001,0.02
1.1031036985484475e-05,0.0016409233910655212,8412466.0,TS_Lin_GRS,0.02,58336,1529596788.0,0.0001,0.02
1.3122679018858296e-05,0.0016300458281374517,8643052.0,TS_Lin_GRS,0.02,58336,1529608816.0,0.0001,0.02
2.543636070710366e-05,0.001632242596232304,9073779.0,TS_Lin_GRS,0.02,58336,1529741368.0,0.0001,0.02
3.586869132828889e-05,0.0016425764620589588,9323773.0,TS_Lin_GRS,0.02,58336,1529744968.0,0.0001,0.02
4.755456187149166e-05,0.001652793953989063,9617013.0,TS_Lin_GRS,0.02,58336,1529748568.0,0.0001,0.02
4.9479090449679984e-05,0.0016603284211468353,9919935.0,TS_Lin_GRS,0.02,58336,1529752168.0,0.0001,0.02
5.1582113451471906e-05,0.001673307549401116,10228904.0,TS_Lin_GRS,0.02,58336,1529755768.0,0.0001,0.02
4.184187170504253e-05,0.0016852241845143015,10514353.0,TS_Lin_GRS,0.02,58336,1529759368.0,0.0001,0.02
3.2952398441805244e-05,0.0016980452722986804,10786390.0,TS_Lin_GRS,0.02,58336,1529762968.0,0.0001,0.02
8.394349550954399e-05,0.001708432497173481,11059200.0,TS_Lin_GRS,0.02,58336,1529766568.0,0.0001,0.02
2.6121654025743546e-05,0.0017196044336734656,11363299.0,TS_Lin_GRS,0.02,58336,1529770168.0,0.0001,0.02
5.878454010873464e-05,0.0017244810027986638,11668255.0,TS_Lin_GRS,0.02,58336,1529773768.0,0.0001,0.02
4.263148087585959e-05,0.0017330128722247145,11925857.0,TS_Lin_GRS,0.02,58336,1529777368.0,0.0001,0.02
7.219043760216934e-05,0.0017384615795155273,12188395.0,TS_Lin_GRS,0.02,58336,1529780968.0,0.0001,0.02
4.9363710216689965e-06,0.001741108834550444,12391659.0,TS_Lin_GRS,0.02,58336,1529784568.0,0.0001,0.02
6.772095677656974e-05,0.0017520854838131454,12729725.0,TS_Lin_GRS,0.02,58336,1529788168.0,0.0001,0.02
1.6569694621510864e-05,0.0017643501139740488,12970435.0,TS_Lin_GRS,0.02,58336,1529791768.0,0.0001,0.02
1.514711529960261e-05,0.0017693453758226465,13101160.0,TS_Lin_GRS,0.02,58336,1529795368.0,0.0001,0.02
0.00012681439323642083,0.0017714813583161678,13187778.0,TS_Lin_GRS,0.02,58336,1529800234.0,0.0001,0.02
0.00029821016736704625,0.0017752561223817003,13257924.0,TS_Lin_GRS,0.02,58336,1529807712.0,0.0001,0.02
0.00012680953195910337,0.0017774289923402342,13312925.0,TS_Lin_GRS,0.02,58336,1529812274.0,0.0001,0.02
0.000197183998795812,0.0017803900075107526,13408878.0,TS_Lin_GRS,0.02,58336,1529815874.0,0.0001,0.02
7.48391151315525e-05,0.0017907649936672173,13607898.0,TS_Lin_GRS,0.02,58336,1529819474.0,0.0001,0.02
1.4920946069997555e-05,0.001802872983794172,13943835.0,TS_Lin_GRS,0.02,58336,1529823074.0,0.0001,0.02
5.0085214171646205e-06,0.0018164513228100768,14340318.0,TS_Lin_GRS,0.02,58336,1529826674.0,0.0001,0.02
0.00047941957596630137,0.0018189833921437332,14392073.0,TS_Lin_GRS,0.02,58336,1529830312.0,0.0001,0.02
