Clicks,Impressions,TotalImpressions,Method,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
0,1593,240000,Random,1534230945000,0.0,0.0,0.327,2.94e+04,0.000731,nan,0.0,0.0,1.0,nan,0.0,1.61e+02,-1.6e+02,12,0.2,0.2,0.0,0.2
0,3471,250000,Random,1534232056000,0.0,0.0,0.327,2.95e+04,0.000439,nan,0.0,0.0,1.0,nan,0.0,2.54e+02,-2.53e+02,12,0.2,0.2,0.0,0.2
0,5513,260000,Random,1534233337000,0.0,0.0,0.33,2.97e+04,0.000354,nan,0.0,0.0,1.0,nan,0.0,3.11e+02,-3.1e+02,12,0.2,0.2,0.0,0.2
2,7555,270000,Random,1534234709000,0.000265,0.000265,0.33,2.97e+04,0.000366,inf,0.125,0.0,0.875,1.0,0.125,2.68e+02,-2.67e+02,12,0.2,0.2,0.0,0.2
2,9579,280000,Random,1534235938000,0.000209,0.000209,0.331,2.97e+04,0.00029,inf,0.125,0.0,0.875,1.0,0.125,3.3e+02,-3.29e+02,12,0.2,0.2,0.0,0.2
2,11595,290000,Random,1534237099000,0.000172,0.000172,0.331,2.98e+04,0.000275,inf,0.111,0.0,0.889,1.0,0.111,3.53e+02,-3.52e+02,12,0.2,0.2,0.0,0.2
2,13568,300000,Random,1534238359000,0.000147,0.000147,0.331,2.98e+04,0.000264,inf,0.1,0.0,0.9,1.0,0.1,3.7e+02,-3.69e+02,12,0.2,0.2,0.0,0.2
2,15492,310000,Random,1534239658000,0.000129,0.000129,0.331,2.98e+04,0.00023,inf,0.1,0.0,0.9,1.0,0.1,4.17e+02,-4.16e+02,12,0.2,0.2,0.0,0.2
2,17575,320000,Random,1534241012000,0.000114,0.000114,0.332,2.99e+04,0.000227,inf,0.0909,0.0,0.909,1.0,0.0909,4.28e+02,-4.27e+02,12,0.2,0.2,0.0,0.2
4,19662,330000,Random,1534242188000,0.000203,0.000203,0.333,3e+04,0.000244,inf,0.143,0.0,0.857,1.0,0.143,3.81e+02,-3.8e+02,12,0.2,0.2,0.0,0.2
5,21601,340000,Random,1534243367000,0.000231,0.000231,0.333,2.99e+04,0.000222,inf,0.172,0.0,0.828,1.0,0.172,4.03e+02,-4.02e+02,12,0.2,0.2,0.0,0.2
5,23659,350000,Random,1534244644000,0.000211,0.000211,0.333,3e+04,0.000237,inf,0.152,0.0,0.848,1.0,0.152,3.89e+02,-3.88e+02,12,0.2,0.2,0.0,0.2
5,25630,360000,Random,1534245969000,0.000195,0.000195,0.333,3e+04,0.00025,inf,0.135,0.0,0.865,1.0,0.135,3.78e+02,-3.77e+02,12,0.2,0.2,0.0,0.2
11,27585,370000,Random,1534247088000,0.000399,0.000399,0.333,3e+04,0.000246,inf,0.244,0.0,0.756,1.0,0.244,3.39e+02,-3.38e+02,12,0.2,0.2,0.0,0.2
17,29531,380000,Random,1534248167000,0.000576,0.000576,0.333,3e+04,0.000263,inf,0.304,0.0,0.696,1.0,0.304,2.97e+02,-2.96e+02,12,0.2,0.2,0.0,0.2
21,31588,390000,Random,1534249402000,0.000665,0.000665,0.333,3e+04,0.000405,inf,0.247,0.0,0.753,1.0,0.247,2.18e+02,-2.17e+02,12,0.2,0.2,0.0,0.2
25,33578,400000,Random,1534250407000,0.000745,0.000745,0.333,3e+04,0.000464,inf,0.243,0.0,0.757,1.0,0.243,1.94e+02,-1.93e+02,12,0.2,0.2,0.0,0.2
