Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,CropPercent,NormalizeTargetValue,TrainPart,RecommendationPart
603,351144,3200000,1534284970000,0.00175,0.00172,0.984,2.95e+02,0.982,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
656,369459,3300000,1534301374000,0.00289,0.00178,0.979,2.94e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
710,389186,3400000,1534307392000,0.00274,0.00182,0.981,2.94e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
746,403892,3500000,1534310553000,0.00245,0.00185,0.985,2.96e+02,0.982,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
770,419702,3600000,1534313223000,0.00152,0.00183,0.98,2.94e+02,0.982,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
792,435413,3700000,1534315472000,0.0014,0.00182,0.981,2.94e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
808,449701,3800000,1534317461000,0.00112,0.0018,0.982,2.95e+02,0.982,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
836,464644,3900000,1534319605000,0.00187,0.0018,0.983,2.95e+02,0.982,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
859,480367,4000000,1534321811000,0.00146,0.00179,0.988,2.96e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
879,495780,4100000,1534324066000,0.0013,0.00177,0.987,2.96e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
909,510972,4200000,1534325982000,0.00197,0.00178,0.985,2.95e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
959,524769,4300000,1534327753000,0.00362,0.00183,0.987,2.96e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,True,0.0,False,0.0,0.0
