Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart
670,411765,3400000,1534307392000,0.00326,0.00163,0.985,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
714,430601,3500000,1534310553000,0.00234,0.00166,0.984,2.95e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
728,448509,3600000,1534313223000,0.000782,0.00162,0.985,2.96e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
759,466081,3700000,1534315472000,0.00176,0.00163,0.987,2.96e+02,0.982,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
775,484057,3800000,1534317461000,0.00089,0.0016,0.984,2.95e+02,0.982,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
803,502194,3900000,1534319605000,0.00154,0.0016,0.98,2.94e+02,0.982,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
826,520009,4000000,1534321811000,0.00129,0.00159,0.986,2.96e+02,0.982,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
848,537376,4100000,1534324066000,0.00127,0.00158,0.985,2.95e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
872,554637,4200000,1534325982000,0.00139,0.00157,0.981,2.94e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
925,571231,4300000,1534327753000,0.00319,0.00162,0.984,2.95e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
945,584205,4400000,1534329253000,0.00154,0.00162,0.978,2.94e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
963,594914,4500000,1534330607000,0.00168,0.00162,0.982,2.95e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
995,606841,4600000,1534332371000,0.00268,0.00164,0.986,2.96e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1023,619123,4700000,1534334282000,0.00228,0.00165,0.986,2.96e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1049,631061,4800000,1534336223000,0.00218,0.00166,0.989,2.97e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1071,642805,4900000,1534338220000,0.00187,0.00167,0.986,2.96e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1105,655019,5000000,1534340324000,0.00278,0.00169,0.984,2.95e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1134,667509,5100000,1534342505000,0.00232,0.0017,0.984,2.95e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1160,680876,5200000,1534345017000,0.00195,0.0017,0.986,2.96e+02,0.982,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1189,696030,5300000,1534348283000,0.00191,0.00171,0.99,2.97e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1213,714109,5400000,1534352099000,0.00133,0.0017,0.986,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1243,731383,5500000,1534355823000,0.00174,0.0017,0.989,2.97e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1278,747969,5600000,1534359354000,0.00211,0.00171,0.985,2.95e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1319,764076,5700000,1534362421000,0.00255,0.00173,0.985,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1343,772485,6000000,1534387000000,0.00285,0.00174,0.977,2.93e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1393,791587,6100000,1534391894000,0.00262,0.00176,0.984,2.95e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1436,814255,6200000,1534395699000,0.0019,0.00176,0.983,2.95e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1456,828844,6300000,1534397928000,0.00137,0.00176,0.978,2.93e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1486,843370,6400000,1534400142000,0.00207,0.00176,0.986,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1500,856715,6500000,1534401980000,0.00105,0.00175,0.978,2.93e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1511,870377,6600000,1534403754000,0.000805,0.00174,0.988,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1528,885235,6700000,1534405748000,0.00114,0.00173,0.984,2.95e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1536,898166,6800000,1534407692000,0.000619,0.00171,0.979,2.94e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1557,910479,6900000,1534409775000,0.00171,0.00171,0.972,2.92e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1568,921749,7000000,1534411756000,0.000976,0.0017,0.986,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1578,933407,7100000,1534413572000,0.000858,0.00169,0.982,2.94e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1593,944792,7200000,1534415178000,0.00132,0.00169,0.983,2.95e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1612,956711,7300000,1534416750000,0.00159,0.00168,0.985,2.95e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1637,969625,7400000,1534418460000,0.00194,0.00169,0.983,2.95e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
