Clicks,Impressions,CumClicks,CumImpressions,TotalImpressions,RecommendationSizePercent,Timestamp,Alpha,Method
0.0,59.0,0.0,59.0,460000.0,0.02,1529485209.0,0.000,TS_Lin_GRS
1.0,388.0,1.0,447.0,470000.0,0.02,1529485282.0,0.000,TS_Lin_GRS
2.0,375.0,3.0,822.0,480000.0,0.02,1529485354.0,0.000,TS_Lin_GRS
0.0,346.0,3.0,1168.0,490000.0,0.02,1529485426.0,0.000,TS_Lin_GRS
0.0,328.0,3.0,1496.0,500000.0,0.02,1529485500.0,0.000,TS_Lin_GRS
1.0,352.0,4.0,1848.0,510000.0,0.02,1529485578.0,0.000,TS_Lin_GRS
1.0,343.0,5.0,2191.0,520000.0,0.02,1529485659.0,0.000,TS_Lin_GRS
0.0,340.0,5.0,2531.0,530000.0,0.02,1529485742.0,0.000,TS_Lin_GRS
2.0,363.0,7.0,2894.0,540000.0,0.02,1529485823.0,0.000,TS_Lin_GRS
0.0,362.0,7.0,3256.0,550000.0,0.02,1529485906.0,0.000,TS_Lin_GRS
1.0,336.0,8.0,3592.0,560000.0,0.02,1529485990.0,0.000,TS_Lin_GRS
0.0,351.0,8.0,3943.0,570000.0,0.02,1529486075.0,0.000,TS_Lin_GRS
0.0,357.0,8.0,4300.0,580000.0,0.02,1529486160.0,0.000,TS_Lin_GRS
0.0,304.0,8.0,4604.0,590000.0,0.02,1529486245.0,0.000,TS_Lin_GRS
1.0,349.0,9.0,4953.0,600000.0,0.02,1529486326.0,0.000,TS_Lin_GRS
0.0,338.0,9.0,5291.0,610000.0,0.02,1529486407.0,0.000,TS_Lin_GRS
0.0,336.0,9.0,5627.0,620000.0,0.02,1529486488.0,0.000,TS_Lin_GRS
1.0,346.0,10.0,5973.0,630000.0,0.02,1529486569.0,0.000,TS_Lin_GRS
0.0,325.0,10.0,6298.0,640000.0,0.02,1529486652.0,0.000,TS_Lin_GRS
1.0,297.0,11.0,6595.0,650000.0,0.02,1529486734.0,0.000,TS_Lin_GRS
2.0,340.0,13.0,6935.0,660000.0,0.02,1529486817.0,0.000,TS_Lin_GRS
0.0,331.0,13.0,7266.0,670000.0,0.02,1529486899.0,0.000,TS_Lin_GRS
0.0,350.0,13.0,7616.0,680000.0,0.02,1529486983.0,0.000,TS_Lin_GRS
2.0,387.0,15.0,8003.0,690000.0,0.02,1529487066.0,0.000,TS_Lin_GRS
1.0,297.0,16.0,8300.0,700000.0,0.02,1529487149.0,0.000,TS_Lin_GRS
1.0,304.0,17.0,8604.0,710000.0,0.02,1529487230.0,0.000,TS_Lin_GRS
2.0,316.0,19.0,8920.0,720000.0,0.02,1529487314.0,0.000,TS_Lin_GRS
0.0,354.0,19.0,9274.0,730000.0,0.02,1529487394.0,0.000,TS_Lin_GRS
0.0,338.0,19.0,9612.0,740000.0,0.02,1529487472.0,0.000,TS_Lin_GRS
0.0,338.0,19.0,9950.0,750000.0,0.02,1529487552.0,0.000,TS_Lin_GRS
0.0,315.0,19.0,10265.0,760000.0,0.02,1529487630.0,0.000,TS_Lin_GRS
1.0,371.0,20.0,10636.0,770000.0,0.02,1529487708.0,0.000,TS_Lin_GRS
0.0,365.0,20.0,11001.0,780000.0,0.02,1529487789.0,0.000,TS_Lin_GRS
0.0,375.0,20.0,11376.0,790000.0,0.02,1529487870.0,0.000,TS_Lin_GRS
0.0,319.0,20.0,11695.0,800000.0,0.02,1529487950.0,0.000,TS_Lin_GRS
1.0,319.0,21.0,12014.0,810000.0,0.02,1529488030.0,0.000,TS_Lin_GRS
0.0,368.0,21.0,12382.0,820000.0,0.02,1529488109.0,0.000,TS_Lin_GRS
1.0,329.0,22.0,12711.0,830000.0,0.02,1529488188.0,0.000,TS_Lin_GRS
1.0,356.0,23.0,13067.0,840000.0,0.02,1529488267.0,0.000,TS_Lin_GRS
1.0,399.0,24.0,13466.0,850000.0,0.02,1529488344.0,0.000,TS_Lin_GRS
1.0,352.0,25.0,13818.0,860000.0,0.02,1529488423.0,0.000,TS_Lin_GRS
0.0,354.0,25.0,14172.0,870000.0,0.02,1529488503.0,0.000,TS_Lin_GRS
2.0,314.0,27.0,14486.0,880000.0,0.02,1529488582.0,0.000,TS_Lin_GRS
1.0,336.0,28.0,14822.0,890000.0,0.02,1529488662.0,0.000,TS_Lin_GRS
0.0,352.0,28.0,15174.0,900000.0,0.02,1529488741.0,0.000,TS_Lin_GRS
-27.0,-14268.0,1.0,906.0,460000.0,0.02,1529485209.0,0.000,TS_Lin_GRS
9.0,7382.0,10.0,8288.0,470000.0,0.02,1529485282.0,0.000,TS_Lin_GRS
