CampaignId,SimulationId,Cutoff,CTR,MSE,Calibration,NE,RIG,TPR,FPR,FNR,PPR,ROC
597165,0,0.007786,0.00326,0.006462,1.0,0.8495,0.1505,0.009101,0.003241,0.9909,0.009101,2.808
597165,0,0.006966,0.006521,0.009667,2.0,1.58,-0.5803,0.01752,0.006485,0.9825,0.008761,2.702
597165,0,0.006271,0.0163,0.01933,5.0,3.819,-2.819,0.03627,0.01624,0.9637,0.007253,2.234
597165,0,0.005479,0.0326,0.03545,10.0,7.639,-6.639,0.06343,0.0325,0.9366,0.006343,1.952
597165,0,0.004727,0.06521,0.06771,20.0,15.5,-14.5,0.1163,0.06504,0.8837,0.005814,1.788
597165,0,0.004033,0.163,0.1646,50.0,39.79,-38.79,0.2528,0.1627,0.7472,0.005056,1.553
597165,0,0.003553,0.326,0.3264,100.0,81.26,-80.26,0.4446,0.3257,0.5554,0.004446,1.365
