Clicks,Impressions,TotalImpressions,Method,Timestamp,MSE,CumulativeMSE,MMSE,MCumulativeMSE,LocalCTR,Calibration,NE,RIG,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
3.0,366.0,110000,Regression,1531044493000,0.0287,2.27e+03,2.63e-05,2.45,0.00822,2.39,1.05,-0.0506,12,0.2,0.2,0.1,0.0
24.0,1701.0,120000,Regression,1531046231000,0.00147,1.89e+02,0.000147,18.0,0.0141,4.11,1.76,-0.759,12,0.2,0.2,0.1,0.0
50.0,3098.0,130000,Regression,1531048017000,0.00186,2.34e+02,0.000278,34.5,0.0161,4.7,2.14,-1.14,12,0.2,0.2,0.1,0.0
89.0,4371.0,140000,Regression,1531049805000,0.00238,3.5e+02,0.000429,57.1,0.0204,5.92,2.35,-1.35,12,0.2,0.2,0.1,0.0
117.0,5721.0,150000,Regression,1531051599000,0.00187,2.51e+02,0.000525,70.1,0.0205,5.95,2.5,-1.5,12,0.2,0.2,0.1,0.0
148.0,7015.0,160000,Regression,1531053310000,0.00206,2.78e+02,0.000621,83.1,0.0211,6.14,2.75,-1.75,12,0.2,0.2,0.1,0.0
172.0,8377.0,170000,Regression,1531054948000,0.00163,2.16e+02,0.00068,90.9,0.0205,5.97,2.66,-1.66,12,0.2,0.2,0.1,0.0
196.0,9813.0,180000,Regression,1531056675000,0.0017,2.16e+02,0.000737,97.8,0.02,5.81,2.74,-1.74,12,0.2,0.2,0.1,0.0
227.0,11188.0,190000,Regression,1531058328000,0.0021,2.78e+02,0.000809,1.07e+02,0.0203,5.9,2.72,-1.72,12,0.2,0.2,0.1,0.0
262.0,12546.0,200000,Regression,1531059941000,0.00225,3.14e+02,0.000881,1.18e+02,0.0209,6.07,2.78,-1.78,12,0.2,0.2,0.1,0.0
294.0,13937.0,210000,Regression,1531061809000,0.0022,2.87e+02,0.000944,1.26e+02,0.0211,6.14,2.87,-1.87,12,0.2,0.2,0.1,0.0
339.0,15335.0,220000,Regression,1531063581000,0.00285,4.04e+02,0.00103,1.38e+02,0.0221,6.43,2.95,-1.95,12,0.2,0.2,0.1,0.0
