Clicks,Impressions,TotalImpressions,Method,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
0,1781,170000,Random,1534230790000,0.0,0.0,0.344,3.1e+04,0.000242,nan,0.0,0.0,1.0,nan,0.0,4.56e+02,-4.55e+02,12,0.2,0.2,0.0,0.2
0,3709,180000,Random,1534231691000,0.0,0.0,0.336,3.02e+04,0.000383,nan,0.0,0.0,1.0,nan,0.0,2.94e+02,-2.93e+02,12,0.2,0.2,0.0,0.2
1,5696,190000,Random,1534232608000,0.000176,0.000176,0.335,3.01e+04,0.000389,inf,0.0833,0.0,0.917,1.0,0.0833,2.68e+02,-2.67e+02,12,0.2,0.2,0.0,0.2
3,7745,200000,Random,1534233936000,0.000387,0.000387,0.336,3.02e+04,0.000444,inf,0.15,0.0,0.85,1.0,0.15,2.24e+02,-2.23e+02,12,0.2,0.2,0.0,0.2
3,9671,210000,Random,1534235187000,0.00031,0.00031,0.335,3.01e+04,0.000394,inf,0.136,0.0,0.864,1.0,0.136,2.52e+02,-2.51e+02,12,0.2,0.2,0.0,0.2
7,11709,220000,Random,1534236104000,0.000598,0.000598,0.335,3.01e+04,0.000429,inf,0.219,0.0,0.781,1.0,0.219,2.14e+02,-2.13e+02,12,0.2,0.2,0.0,0.2
13,13665,230000,Random,1534236961000,0.000951,0.000951,0.335,3.01e+04,0.000513,inf,0.271,0.0,0.729,1.0,0.271,1.72e+02,-1.71e+02,12,0.2,0.2,0.0,0.2
13,15634,240000,Random,1534237866000,0.000832,0.000832,0.334,3.01e+04,0.000613,inf,0.213,0.0,0.787,1.0,0.213,1.57e+02,-1.56e+02,12,0.2,0.2,0.0,0.2
15,17716,250000,Random,1534238805000,0.000847,0.000847,0.335,3.01e+04,0.000634,inf,0.211,0.0,0.789,1.0,0.211,1.53e+02,-1.52e+02,12,0.2,0.2,0.0,0.2
17,19715,260000,Random,1534239775000,0.000862,0.000862,0.334,3.01e+04,0.000651,inf,0.21,0.0,0.79,1.0,0.21,1.5e+02,-1.49e+02,12,0.2,0.2,0.0,0.2
19,21699,270000,Random,1534241105000,0.000876,0.000876,0.334,3.01e+04,0.000647,inf,0.213,0.0,0.787,1.0,0.213,1.5e+02,-1.49e+02,12,0.2,0.2,0.0,0.2
19,23705,280000,Random,1534242296000,0.000802,0.000802,0.334,3.01e+04,0.000609,inf,0.209,0.0,0.791,1.0,0.209,1.59e+02,-1.58e+02,12,0.2,0.2,0.0,0.2
21,25739,290000,Random,1534243501000,0.000816,0.000816,0.334,3.01e+04,0.000561,inf,0.226,0.0,0.774,1.0,0.226,1.68e+02,-1.67e+02,12,0.2,0.2,0.0,0.2
21,27695,300000,Random,1534245047000,0.000758,0.000758,0.334,3e+04,0.000521,inf,0.226,0.0,0.774,1.0,0.226,1.79e+02,-1.78e+02,12,0.2,0.2,0.0,0.2
23,29834,310000,Random,1534246509000,0.000771,0.000771,0.334,3.01e+04,0.000499,inf,0.237,0.0,0.763,1.0,0.237,1.84e+02,-1.83e+02,12,0.2,0.2,0.0,0.2
25,31706,320000,Random,1534247791000,0.000788,0.000788,0.334,3e+04,0.00048,inf,0.248,0.0,0.752,1.0,0.248,1.87e+02,-1.86e+02,12,0.2,0.2,0.0,0.2
25,33630,330000,Random,1534249182000,0.000743,0.000743,0.333,3e+04,0.000464,inf,0.243,0.0,0.757,1.0,0.243,1.94e+02,-1.93e+02,12,0.2,0.2,0.0,0.2
25,35561,340000,Random,1534250530000,0.000703,0.000703,0.333,3e+04,0.00046,inf,0.234,0.0,0.766,1.0,0.234,1.97e+02,-1.96e+02,12,0.2,0.2,0.0,0.2
25,37528,350000,Random,1534251944000,0.000666,0.000666,0.333,2.99e+04,0.000457,inf,0.225,0.0,0.775,1.0,0.225,2e+02,-1.99e+02,12,0.2,0.2,0.0,0.2
25,39490,360000,Random,1534253315000,0.000633,0.000633,0.333,2.99e+04,0.000464,inf,0.214,0.0,0.786,1.0,0.214,2e+02,-1.99e+02,12,0.2,0.2,0.0,0.2
