Clicks,Impressions,TotalImpressions,Method,Timestamp,MSE,CumulativeMSE,MMSE,MCumulativeMSE,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
15.0,2952.0,420000,LinUCB_Disjoint,1531237288.0,0.00301,2.7e+02,0.0027,2.42e+02,12,0.02,0.02,0.1,0.0
15.0,3026.0,430000,LinUCB_Disjoint,1531239591.0,0.00242,2.16e+02,0.0027,2.42e+02,12,0.02,0.02,0.1,0.0
15.0,3087.0,440000,LinUCB_Disjoint,1531242813.0,0.00212,1.89e+02,0.00269,2.4e+02,12,0.02,0.02,0.1,0.0
15.0,3170.0,450000,LinUCB_Disjoint,1531246507.0,0.00183,1.62e+02,0.00267,2.39e+02,12,0.02,0.02,0.1,0.0
15.0,3338.0,460000,LinUCB_Disjoint,1531249208.0,0.00302,2.7e+02,0.00267,2.39e+02,12,0.02,0.02,0.1,0.0
15.0,3397.0,470000,LinUCB_Disjoint,1531252971.0,0.00232,2.07e+02,0.00267,2.39e+02,12,0.02,0.02,0.1,0.0
15.0,3484.0,480000,LinUCB_Disjoint,1531255800.0,0.00351,3.15e+02,0.00268,2.4e+02,12,0.02,0.02,0.1,0.0
15.0,3566.0,490000,LinUCB_Disjoint,1531259005.0,0.00242,2.16e+02,0.00268,2.4e+02,12,0.02,0.02,0.1,0.0
15.0,3642.0,500000,LinUCB_Disjoint,1531277437.0,0.00251,2.25e+02,0.00268,2.39e+02,12,0.02,0.02,0.1,0.0
15.0,3715.0,510000,LinUCB_Disjoint,1531284232.0,0.0038,3.42e+02,0.0027,2.41e+02,12,0.02,0.02,0.1,0.0
15.0,3794.0,520000,LinUCB_Disjoint,1531288234.0,0.00232,2.07e+02,0.00269,2.41e+02,12,0.02,0.02,0.1,0.0
17.0,3886.0,530000,LinUCB_Disjoint,1531292700.0,0.00301,2.7e+02,0.0027,2.41e+02,12,0.02,0.02,0.1,0.0
17.0,3953.0,540000,LinUCB_Disjoint,1531297474.0,0.00271,2.43e+02,0.0027,2.41e+02,12,0.02,0.02,0.1,0.0
17.0,4008.0,550000,LinUCB_Disjoint,1531302248.0,0.00321,2.88e+02,0.00271,2.42e+02,12,0.02,0.02,0.1,0.0
18.0,4102.0,560000,LinUCB_Disjoint,1531306059.0,0.00241,2.16e+02,0.0027,2.42e+02,12,0.02,0.02,0.1,0.0
18.0,4185.0,570000,LinUCB_Disjoint,1531310200.0,0.00291,2.61e+02,0.0027,2.42e+02,12,0.02,0.02,0.1,0.0
18.0,4275.0,580000,LinUCB_Disjoint,1531315480.0,0.00291,2.61e+02,0.00271,2.42e+02,12,0.02,0.02,0.1,0.0
20.0,4331.0,590000,LinUCB_Disjoint,1531320378.0,0.0031,2.79e+02,0.00271,2.43e+02,12,0.02,0.02,0.1,0.0
21.0,4416.0,600000,LinUCB_Disjoint,1531325017.0,0.0033,2.97e+02,0.00272,2.44e+02,12,0.02,0.02,0.1,0.0
21.0,4478.0,610000,LinUCB_Disjoint,1531329133.0,0.0038,3.42e+02,0.00274,2.45e+02,12,0.02,0.02,0.1,0.0
21.0,4552.0,620000,LinUCB_Disjoint,1531333476.0,0.003,2.7e+02,0.00275,2.46e+02,12,0.02,0.02,0.1,0.0
21.0,4612.0,630000,LinUCB_Disjoint,1531338211.0,0.004,3.6e+02,0.00277,2.48e+02,12,0.02,0.02,0.1,0.0
21.0,4682.0,640000,LinUCB_Disjoint,1531342404.0,0.00468,4.23e+02,0.0028,2.5e+02,12,0.02,0.02,0.1,0.0
23.0,4763.0,650000,LinUCB_Disjoint,1531346266.0,0.00281,2.52e+02,0.0028,2.5e+02,12,0.02,0.02,0.1,0.0
23.0,4837.0,660000,LinUCB_Disjoint,1531366779.0,0.00439,3.96e+02,0.00282,2.53e+02,12,0.02,0.02,0.1,0.0
23.0,4908.0,670000,LinUCB_Disjoint,1531372186.0,0.00321,2.88e+02,0.00283,2.53e+02,12,0.02,0.02,0.1,0.0
24.0,4992.0,680000,LinUCB_Disjoint,1531377095.0,0.0031,2.79e+02,0.00283,2.54e+02,12,0.02,0.02,0.1,0.0
24.0,5068.0,690000,LinUCB_Disjoint,1531382325.0,0.00242,2.16e+02,0.00282,2.53e+02,12,0.02,0.02,0.1,0.0
