Clicks,Impressions,TotalImpressions,Method,RecommendationPart,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
14.0,1286.0,870000,LinUCB_Disjoint_E_0.8,0.02,1529488503.0,0.01,0.02,0.04521292597866802,0.021725146605069218
14.0,1324.0,880000,LinUCB_Disjoint_E_0.8,0.02,1529488582.0,0.01,0.02,0.04484785421944263,0.021987904646141768
15.0,1356.0,890000,LinUCB_Disjoint_E_0.8,0.02,1529488663.0,0.01,0.02,0.045805148691153874,0.022255514129793486
16.0,1382.0,900000,LinUCB_Disjoint_E_0.8,0.02,1529488741.0,0.01,0.02,0.04497442285531786,0.02250794644896609
16.0,1407.0,910000,LinUCB_Disjoint_E_0.8,0.02,1529488819.0,0.01,0.02,0.04463649228700869,0.022751117282351237
16.0,1435.0,920000,LinUCB_Disjoint_E_0.8,0.02,1529488893.0,0.01,0.02,0.04323470726449795,0.022973764999548518
16.0,1466.0,930000,LinUCB_Disjoint_E_0.8,0.02,1529488965.0,0.01,0.02,0.043281831890703906,0.02319213131020598
16.0,1494.0,940000,LinUCB_Disjoint_E_0.8,0.02,1529489033.0,0.01,0.02,0.04269823532939804,0.023399643055091023
16.0,1511.0,950000,LinUCB_Disjoint_E_0.8,0.02,1529489099.0,0.01,0.02,0.041879050010107784,0.0235941631283016
16.0,1538.0,960000,LinUCB_Disjoint_E_0.8,0.02,1529489162.0,0.01,0.02,0.041593447125319254,0.02378165566993708
16.0,1550.0,970000,LinUCB_Disjoint_E_0.8,0.02,1529489226.0,0.01,0.02,0.042209547909365,0.023971633940446612
16.0,1574.0,980000,LinUCB_Disjoint_E_0.8,0.02,1529489288.0,0.01,0.02,0.04357141630181507,0.024171631719644184
17.0,1600.0,990000,LinUCB_Disjoint_E_0.8,0.02,1529489350.0,0.01,0.02,0.04294641329527159,0.02436127597798373
17.0,1625.0,1000000,LinUCB_Disjoint_E_0.8,0.02,1529489410.0,0.01,0.02,0.04229251729010642,0.0245405883911049
17.0,1661.0,1010000,LinUCB_Disjoint_E_0.8,0.02,1529489472.0,0.01,0.02,0.04266356140498213,0.024720023767479914
18.0,1692.0,1020000,LinUCB_Disjoint_E_0.8,0.02,1529489534.0,0.01,0.02,0.04262479511951,0.024895560741519236
19.0,1726.0,1030000,LinUCB_Disjoint_E_0.8,0.02,1529489596.0,0.01,0.02,0.0429411706992035,0.025070760838195736
21.0,1748.0,1040000,LinUCB_Disjoint_E_0.8,0.02,1529489659.0,0.01,0.02,0.041571454575450646,0.025229421354900017
21.0,1768.0,1050000,LinUCB_Disjoint_E_0.8,0.02,1529489721.0,0.01,0.02,0.04196207419728857,0.025388779953398864
22.0,1791.0,1060000,LinUCB_Disjoint_E_0.8,0.02,1529489782.0,0.01,0.02,0.042021941578327726,0.02554569657250181
22.0,1806.0,1070000,LinUCB_Disjoint_E_0.8,0.02,1529489846.0,0.01,0.02,0.042278941858616415,0.02570208204246544
22.0,1830.0,1080000,LinUCB_Disjoint_E_0.8,0.02,1529489910.0,0.01,0.02,0.04295434236394043,0.02586182519359006
22.0,1853.0,1090000,LinUCB_Disjoint_E_0.8,0.02,1529489972.0,0.01,0.02,0.0428795837033,0.02601795141844965
22.0,1876.0,1100000,LinUCB_Disjoint_E_0.8,0.02,1529490034.0,0.01,0.02,0.04146506837857632,0.026158379754450886
22.0,1899.0,1110000,LinUCB_Disjoint_E_0.8,0.02,1529490096.0,0.01,0.02,0.041532512555147005,0.026296885455357882
22.0,1918.0,1120000,LinUCB_Disjoint_E_0.8,0.02,1529490158.0,0.01,0.02,0.0424790815067506,0.026441369348673967
22.0,1943.0,1130000,LinUCB_Disjoint_E_0.8,0.02,1529490220.0,0.01,0.02,0.04276116001230234,0.026585792274900714
22.0,1963.0,1140000,LinUCB_Disjoint_E_0.8,0.02,1529490283.0,0.01,0.02,0.04274304198250491,0.026727522535493736
23.0,1987.0,1150000,LinUCB_Disjoint_E_0.8,0.02,1529490346.0,0.01,0.02,0.042445764166611825,0.026864202897503592
23.0,1998.0,1160000,LinUCB_Disjoint_E_0.8,0.02,1529490408.0,0.01,0.02,0.04213192482003534,0.026995821189939276
23.0,2024.0,1170000,LinUCB_Disjoint_E_0.8,0.02,1529490471.0,0.01,0.02,0.04286696340940644,0.027131471978139858
24.0,2046.0,1180000,LinUCB_Disjoint_E_0.8,0.02,1529490534.0,0.01,0.02,0.04304588833413086,0.027266339913360062
24.0,2065.0,1190000,LinUCB_Disjoint_E_0.8,0.02,1529490599.0,0.01,0.02,0.04352205360314063,0.027402942549408782
24.0,2088.0,1200000,LinUCB_Disjoint_E_0.8,0.02,1529490664.0,0.01,0.02,0.042940841414641676,0.027532425039952273
24.0,2109.0,1210000,LinUCB_Disjoint_E_0.8,0.02,1529490730.0,0.01,0.02,0.04309617765336838,0.027661051094608716
24.0,2127.0,1220000,LinUCB_Disjoint_E_0.8,0.02,1529490795.0,0.01,0.02,0.04274837967667898,0.02778471772233028
24.0,2152.0,1230000,LinUCB_Disjoint_E_0.8,0.02,1529490860.0,0.01,0.02,0.04263652782089729,0.02790546414589608
24.0,2178.0,1240000,LinUCB_Disjoint_E_0.8,0.02,1529490923.0,0.01,0.02,0.04257638832607026,0.02802377805057507
24.0,2210.0,1250000,LinUCB_Disjoint_E_0.8,0.02,1529490984.0,0.01,0.02,0.04273187025714611,0.02814144278822777
24.0,2220.0,1260000,LinUCB_Disjoint_E_0.8,0.02,1529491047.0,0.01,0.02,0.0427818631538241,0.028257636600653217
24.0,2246.0,1270000,LinUCB_Disjoint_E_0.8,0.02,1529491110.0,0.01,0.02,0.04342792274445577,0.028377087672651704
