Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,MSE
30.0,15747.0,1000000.0,GP_Clustered,0.02,58336,1529489410.0,0.02,0.0007814496068337709
30.0,15780.0,1010000.0,GP_Clustered,0.02,58336,1529489472.0,0.02,0.0007944342084667067
30.0,15820.0,1020000.0,GP_Clustered,0.02,58336,1529489534.0,0.02,0.000809128780609326
31.0,15858.0,1030000.0,GP_Clustered,0.02,58336,1529489596.0,0.02,0.000813863522394934
32.0,15885.0,1040000.0,GP_Clustered,0.02,58336,1529489659.0,0.02,0.0008280548613509991
32.0,15915.0,1050000.0,GP_Clustered,0.02,58336,1529489721.0,0.02,0.0008353740163167345
34.0,15947.0,1060000.0,GP_Clustered,0.02,58336,1529489782.0,0.02,0.0008434783326018941
34.0,15973.0,1070000.0,GP_Clustered,0.02,58336,1529489846.0,0.02,0.0008430809665854844
34.0,16001.0,1080000.0,GP_Clustered,0.02,58336,1529489910.0,0.02,0.0008473040435972897
34.0,16029.0,1090000.0,GP_Clustered,0.02,58336,1529489972.0,0.02,0.0008542049144847973
34.0,16061.0,1100000.0,GP_Clustered,0.02,58336,1529490034.0,0.02,0.0008600393110400367
34.0,16089.0,1110000.0,GP_Clustered,0.02,58336,1529490096.0,0.02,0.0008586040498042906
34.0,16113.0,1120000.0,GP_Clustered,0.02,58336,1529490158.0,0.02,0.0008607471192002883
34.0,16152.0,1130000.0,GP_Clustered,0.02,58336,1529490220.0,0.02,0.000866381453794664
34.0,16187.0,1140000.0,GP_Clustered,0.02,58336,1529490283.0,0.02,0.0008666742012332656
35.0,16215.0,1150000.0,GP_Clustered,0.02,58336,1529490346.0,0.02,0.0008686780217311363
35.0,16233.0,1160000.0,GP_Clustered,0.02,58336,1529490408.0,0.02,0.0008715333335374073
35.0,16266.0,1170000.0,GP_Clustered,0.02,58336,1529490471.0,0.02,0.0008700710331197838
36.0,16289.0,1180000.0,GP_Clustered,0.02,58336,1529490534.0,0.02,0.0008787492946703327
36.0,16314.0,1190000.0,GP_Clustered,0.02,58336,1529490599.0,0.02,0.0008898121941498622
37.0,16343.0,1200000.0,GP_Clustered,0.02,58336,1529490664.0,0.02,0.0008948681684298608
37.0,16373.0,1210000.0,GP_Clustered,0.02,58336,1529490730.0,0.02,0.0008998577364592429
37.0,16403.0,1220000.0,GP_Clustered,0.02,58336,1529490795.0,0.02,0.0009063984981331439
37.0,16434.0,1230000.0,GP_Clustered,0.02,58336,1529490860.0,0.02,0.000911184902464072
37.0,16467.0,1240000.0,GP_Clustered,0.02,58336,1529490923.0,0.02,0.0009191356553588453
37.0,16512.0,1250000.0,GP_Clustered,0.02,58336,1529490984.0,0.02,0.0009245755479245082
37.0,16548.0,1260000.0,GP_Clustered,0.02,58336,1529491047.0,0.02,0.0009299001461023753
37.0,16583.0,1270000.0,GP_Clustered,0.02,58336,1529491110.0,0.02,0.0009398600496578545
38.0,16614.0,1280000.0,GP_Clustered,0.02,58336,1529491174.0,0.02,0.000945761206487772
38.0,16657.0,1290000.0,GP_Clustered,0.02,58336,1529491238.0,0.02,0.000948506301311168
38.0,16677.0,1300000.0,GP_Clustered,0.02,58336,1529491304.0,0.02,0.0009496846176237777
38.0,16703.0,1310000.0,GP_Clustered,0.02,58336,1529491370.0,0.02,0.0009553863501368594
39.0,16715.0,1320000.0,GP_Clustered,0.02,58336,1529491436.0,0.02,0.0009609807611654003
39.0,16743.0,1330000.0,GP_Clustered,0.02,58336,1529491503.0,0.02,0.0009627569236745711
39.0,16787.0,1340000.0,GP_Clustered,0.02,58336,1529491568.0,0.02,0.0009682274388071833
39.0,16825.0,1350000.0,GP_Clustered,0.02,58336,1529491638.0,0.02,0.0009706791645584528
39.0,16869.0,1360000.0,GP_Clustered,0.02,58336,1529491708.0,0.02,0.0009789496563939728
40.0,16898.0,1370000.0,GP_Clustered,0.02,58336,1529491779.0,0.02,0.0009820007623592
40.0,16934.0,1380000.0,GP_Clustered,0.02,58336,1529491851.0,0.02,0.0009886270751193825
40.0,16976.0,1390000.0,GP_Clustered,0.02,58336,1529491921.0,0.02,0.0009944327236131182
41.0,17011.0,1400000.0,GP_Clustered,0.02,58336,1529491993.0,0.02,0.0009944598013553669
41.0,17047.0,1410000.0,GP_Clustered,0.02,58336,1529492066.0,0.02,0.0010050936108775765
42.0,17085.0,1420000.0,GP_Clustered,0.02,58336,1529492140.0,0.02,0.0010127597564468672
42.0,17124.0,1430000.0,GP_Clustered,0.02,58336,1529492215.0,0.02,0.0010133800017328037
42.0,17156.0,1440000.0,GP_Clustered,0.02,58336,1529492289.0,0.02,0.0010188354577660755
