Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize
250.0,131181.0,1310000.0,Random,0.1,90125
253.0,132132.0,1320000.0,Random,0.1,90125
255.0,133071.0,1330000.0,Random,0.1,90125
256.0,134179.0,1340000.0,Random,0.1,90125
257.0,135170.0,1350000.0,Random,0.1,90125
261.0,136085.0,1360000.0,Random,0.1,90125
264.0,137146.0,1370000.0,Random,0.1,90125
264.0,138188.0,1380000.0,Random,0.1,90125
266.0,139230.0,1390000.0,Random,0.1,90125
267.0,140244.0,1400000.0,Random,0.1,90125
269.0,141284.0,1410000.0,Random,0.1,90125
269.0,142190.0,1420000.0,Random,0.1,90125
269.0,143203.0,1430000.0,Random,0.1,90125
