Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize
236.0,91989.0,1690000.0,Regression,0.1,291680
237.0,92288.0,1700000.0,Regression,0.1,291680
240.0,92569.0,1710000.0,Regression,0.1,291680
242.0,92858.0,1720000.0,Regression,0.1,291680
243.0,93153.0,1730000.0,Regression,0.1,291680
245.0,93428.0,1740000.0,Regression,0.1,291680
246.0,93715.0,1750000.0,Regression,0.1,291680
247.0,93983.0,1760000.0,Regression,0.1,291680
249.0,94296.0,1770000.0,Regression,0.1,291680
250.0,94591.0,1780000.0,Regression,0.1,291680
252.0,94888.0,1790000.0,Regression,0.1,291680
255.0,95195.0,1800000.0,Regression,0.1,291680
256.0,95493.0,1810000.0,Regression,0.1,291680
257.0,95777.0,1820000.0,Regression,0.1,291680
258.0,96043.0,1830000.0,Regression,0.1,291680
258.0,96369.0,1840000.0,Regression,0.1,291680
258.0,96646.0,1850000.0,Regression,0.1,291680
262.0,96952.0,1860000.0,Regression,0.1,291680
263.0,97250.0,1870000.0,Regression,0.1,291680
269.0,97575.0,1880000.0,Regression,0.1,291680
271.0,97856.0,1890000.0,Regression,0.1,291680
271.0,98186.0,1900000.0,Regression,0.1,291680
274.0,98526.0,1910000.0,Regression,0.1,291680
277.0,98856.0,1920000.0,Regression,0.1,291680
278.0,99160.0,1930000.0,Regression,0.1,291680
281.0,99496.0,1940000.0,Regression,0.1,291680
283.0,99828.0,1950000.0,Regression,0.1,291680
285.0,100134.0,1960000.0,Regression,0.1,291680
286.0,100473.0,1970000.0,Regression,0.1,291680
289.0,100785.0,1980000.0,Regression,0.1,291680
292.0,101105.0,1990000.0,Regression,0.1,291680
296.0,101458.0,2000000.0,Regression,0.1,291680
297.0,101814.0,2010000.0,Regression,0.1,291680
299.0,102137.0,2020000.0,Regression,0.1,291680
302.0,102441.0,2030000.0,Regression,0.1,291680
303.0,102795.0,2040000.0,Regression,0.1,291680
305.0,103110.0,2050000.0,Regression,0.1,291680
308.0,103439.0,2060000.0,Regression,0.1,291680
310.0,103760.0,2070000.0,Regression,0.1,291680
311.0,104057.0,2080000.0,Regression,0.1,291680
313.0,104375.0,2090000.0,Regression,0.1,291680
315.0,104690.0,2100000.0,Regression,0.1,291680
318.0,105036.0,2110000.0,Regression,0.1,291680
320.0,105354.0,2120000.0,Regression,0.1,291680
323.0,105709.0,2130000.0,Regression,0.1,291680
324.0,106033.0,2140000.0,Regression,0.1,291680
326.0,106340.0,2150000.0,Regression,0.1,291680
326.0,106642.0,2160000.0,Regression,0.1,291680
330.0,106969.0,2170000.0,Regression,0.1,291680
331.0,107327.0,2180000.0,Regression,0.1,291680
335.0,107642.0,2190000.0,Regression,0.1,291680
335.0,107957.0,2200000.0,Regression,0.1,291680
338.0,108285.0,2210000.0,Regression,0.1,291680
339.0,108629.0,2220000.0,Regression,0.1,291680
339.0,109009.0,2230000.0,Regression,0.1,291680
341.0,109362.0,2240000.0,Regression,0.1,291680
342.0,109726.0,2250000.0,Regression,0.1,291680
344.0,110113.0,2260000.0,Regression,0.1,291680
349.0,110515.0,2270000.0,Regression,0.1,291680
349.0,110855.0,2280000.0,Regression,0.1,291680
349.0,111206.0,2290000.0,Regression,0.1,291680
352.0,111542.0,2300000.0,Regression,0.1,291680
354.0,111882.0,2310000.0,Regression,0.1,291680
354.0,112222.0,2320000.0,Regression,0.1,291680
357.0,112559.0,2330000.0,Regression,0.1,291680
357.0,112964.0,2340000.0,Regression,0.1,291680
360.0,113352.0,2350000.0,Regression,0.1,291680
363.0,113745.0,2360000.0,Regression,0.1,291680
367.0,114136.0,2370000.0,Regression,0.1,291680
373.0,114471.0,2380000.0,Regression,0.1,291680
374.0,114858.0,2390000.0,Regression,0.1,291680
376.0,115286.0,2400000.0,Regression,0.1,291680
376.0,115652.0,2410000.0,Regression,0.1,291680
379.0,116012.0,2420000.0,Regression,0.1,291680
381.0,116355.0,2430000.0,Regression,0.1,291680
382.0,116737.0,2440000.0,Regression,0.1,291680
382.0,117081.0,2450000.0,Regression,0.1,291680
384.0,117449.0,2460000.0,Regression,0.1,291680
385.0,117836.0,2470000.0,Regression,0.1,291680
389.0,118194.0,2480000.0,Regression,0.1,291680
391.0,118555.0,2490000.0,Regression,0.1,291680
392.0,118920.0,2500000.0,Regression,0.1,291680
394.0,119257.0,2510000.0,Regression,0.1,291680
394.0,119598.0,2520000.0,Regression,0.1,291680
397.0,119971.0,2530000.0,Regression,0.1,291680
399.0,120352.0,2540000.0,Regression,0.1,291680
400.0,120711.0,2550000.0,Regression,0.1,291680
403.0,121070.0,2560000.0,Regression,0.1,291680
404.0,121438.0,2570000.0,Regression,0.1,291680
407.0,121841.0,2580000.0,Regression,0.1,291680
412.0,122248.0,2590000.0,Regression,0.1,291680
416.0,122680.0,2600000.0,Regression,0.1,291680
420.0,123097.0,2610000.0,Regression,0.1,291680
422.0,123475.0,2620000.0,Regression,0.1,291680
425.0,123882.0,2630000.0,Regression,0.1,291680
428.0,124304.0,2640000.0,Regression,0.1,291680
431.0,124806.0,2650000.0,Regression,0.1,291680
437.0,125237.0,2660000.0,Regression,0.1,291680
438.0,125668.0,2670000.0,Regression,0.1,291680
441.0,126154.0,2680000.0,Regression,0.1,291680
444.0,126603.0,2690000.0,Regression,0.1,291680
446.0,127002.0,2700000.0,Regression,0.1,291680
448.0,127454.0,2710000.0,Regression,0.1,291680
448.0,127864.0,2720000.0,Regression,0.1,291680
452.0,128278.0,2730000.0,Regression,0.1,291680
458.0,128718.0,2740000.0,Regression,0.1,291680
462.0,129134.0,2750000.0,Regression,0.1,291680
466.0,129586.0,2760000.0,Regression,0.1,291680
469.0,130014.0,2770000.0,Regression,0.1,291680
