Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha
35.0,17699.0,1080000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529489910.0,0.01
35.0,17834.0,1090000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529489972.0,0.01
36.0,17994.0,1100000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529490034.0,0.01
36.0,18124.0,1110000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529490096.0,0.01
36.0,18259.0,1120000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529490158.0,0.01
36.0,18378.0,1130000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529490220.0,0.01
36.0,18513.0,1140000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529490283.0,0.01
38.0,18665.0,1150000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529490346.0,0.01
38.0,18806.0,1160000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529490408.0,0.01
38.0,18943.0,1170000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529490471.0,0.01
38.0,19088.0,1180000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529490534.0,0.01
38.0,19245.0,1190000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529490599.0,0.01
39.0,19369.0,1200000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529490664.0,0.01
39.0,19532.0,1210000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529490730.0,0.01
39.0,19658.0,1220000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529490795.0,0.01
39.0,19798.0,1230000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529490860.0,0.01
39.0,19931.0,1240000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529490923.0,0.01
39.0,20065.0,1250000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529490984.0,0.01
39.0,20214.0,1260000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529491047.0,0.01
39.0,20359.0,1270000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529491110.0,0.01
39.0,20513.0,1280000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529491174.0,0.01
39.0,20651.0,1290000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529491238.0,0.01
39.0,20790.0,1300000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529491304.0,0.01
40.0,20923.0,1310000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529491370.0,0.01
41.0,21041.0,1320000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529491436.0,0.01
41.0,21171.0,1330000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529491503.0,0.01
41.0,21343.0,1340000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529491568.0,0.01
41.0,21491.0,1350000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529491638.0,0.01
41.0,21645.0,1360000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529491708.0,0.01
41.0,21809.0,1370000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529491779.0,0.01
