Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp
26.0,16853.0,1120000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529490158.0
26.0,16953.0,1130000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529490220.0
26.0,17050.0,1140000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529490283.0
27.0,17177.0,1150000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529490346.0
27.0,17295.0,1160000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529490408.0
27.0,17398.0,1170000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529490471.0
27.0,17519.0,1180000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529490534.0
27.0,17628.0,1190000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529490599.0
27.0,17718.0,1200000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529490664.0
28.0,17809.0,1210000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529490730.0
28.0,17918.0,1220000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529490795.0
28.0,18025.0,1230000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529490860.0
28.0,18118.0,1240000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529490923.0
28.0,18218.0,1250000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529490984.0
28.0,18337.0,1260000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529491047.0
28.0,18426.0,1270000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529491110.0
28.0,18522.0,1280000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529491174.0
28.0,18612.0,1290000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529491238.0
28.0,18725.0,1300000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529491304.0
29.0,18815.0,1310000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529491370.0
29.0,18923.0,1320000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529491436.0
29.0,19041.0,1330000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529491503.0
29.0,19167.0,1340000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529491568.0
30.0,19277.0,1350000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529491638.0
30.0,19406.0,1360000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529491708.0
30.0,19530.0,1370000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529491779.0
30.0,19640.0,1380000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529491851.0
30.0,19738.0,1390000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529491921.0
30.0,19842.0,1400000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529491993.0
30.0,19960.0,1410000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529492066.0
30.0,20049.0,1420000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529492140.0
30.0,20137.0,1430000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529492215.0
31.0,20253.0,1440000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529492289.0
31.0,20358.0,1450000.0,Regression_1h_alpha0.1_softTrue,0.02,58336,1529492368.0
