Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
29.0,15775.0,930000.0,Random_0_1,0.02,58336,1529488965.0,0.0001,0.02,0.4997,0.2518677423655914
29.0,15955.0,940000.0,Random_0_1,0.02,58336,1529489033.0,0.0001,0.02,0.4969,0.2544744685106383
29.0,16137.0,950000.0,Random_0_1,0.02,58336,1529489099.0,0.0001,0.02,0.4984,0.25704210568421054
29.0,16272.0,960000.0,Random_0_1,0.02,58336,1529489162.0,0.0001,0.02,0.4868,0.25943541708333334
29.0,16410.0,970000.0,Random_0_1,0.02,58336,1529489226.0,0.0001,0.02,0.4984,0.2618989694845361
29.0,16546.0,980000.0,Random_0_1,0.02,58336,1529489288.0,0.0001,0.02,0.4944,0.2642714289795919
29.0,16685.0,990000.0,Random_0_1,0.02,58336,1529489350.0,0.0001,0.02,0.4847,0.2664979802020202
29.0,16826.0,1000000.0,Random_0_1,0.02,58336,1529489410.0,0.0001,0.02,0.5046,0.2688790004
29.0,16959.0,1010000.0,Random_0_1,0.02,58336,1529489472.0,0.0001,0.02,0.499,0.2711574261386139
29.0,17115.0,1020000.0,Random_0_1,0.02,58336,1529489534.0,0.0001,0.02,0.4981,0.27338235333333333
29.0,17233.0,1030000.0,Random_0_1,0.02,58336,1529489596.0,0.0001,0.02,0.4936,0.2755203887378641
30.0,17343.0,1040000.0,Random_0_1,0.02,58336,1529489659.0,0.0001,0.02,0.5023,0.2777009619230769
30.0,17493.0,1050000.0,Random_0_1,0.02,58336,1529489721.0,0.0001,0.02,0.5014,0.27983142895238095
30.0,17643.0,1060000.0,Random_0_1,0.02,58336,1529489782.0,0.0001,0.02,0.4937,0.2818490569811321
30.0,17818.0,1070000.0,Random_0_1,0.02,58336,1529489846.0,0.0001,0.02,0.5024,0.28391028074766356
31.0,17971.0,1080000.0,Random_0_1,0.02,58336,1529489910.0,0.0001,0.02,0.5091,0.2859953707407408
31.0,18120.0,1090000.0,Random_0_1,0.02,58336,1529489972.0,0.0001,0.02,0.5009,0.2879669728440367
31.0,18265.0,1100000.0,Random_0_1,0.02,58336,1529490034.0,0.0001,0.02,0.5038,0.2899290912727273
31.0,18408.0,1110000.0,Random_0_1,0.02,58336,1529490096.0,0.0001,0.02,0.504,0.29185765801801805
31.0,18567.0,1120000.0,Random_0_1,0.02,58336,1529490158.0,0.0001,0.02,0.5028,0.2937410717857143
31.0,18698.0,1130000.0,Random_0_1,0.02,58336,1529490220.0,0.0001,0.02,0.5037,0.2955991153982301
