Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp
24.0,8707.0,1430000.0,Regression,0.01,29168,1529492215.0
24.0,8736.0,1440000.0,Regression,0.01,29168,1529492289.0
24.0,8768.0,1450000.0,Regression,0.01,29168,1529492368.0
24.0,8800.0,1460000.0,Regression,0.01,29168,1529492448.0
24.0,8834.0,1470000.0,Regression,0.01,29168,1529492529.0
24.0,8860.0,1480000.0,Regression,0.01,29168,1529492610.0
24.0,8886.0,1490000.0,Regression,0.01,29168,1529492694.0
24.0,8902.0,1500000.0,Regression,0.01,29168,1529492774.0
24.0,8931.0,1510000.0,Regression,0.01,29168,1529492855.0
24.0,8948.0,1520000.0,Regression,0.01,29168,1529492937.0
26.0,8975.0,1530000.0,Regression,0.01,29168,1529493020.0
26.0,9001.0,1540000.0,Regression,0.01,29168,1529493104.0
26.0,9032.0,1550000.0,Regression,0.01,29168,1529493186.0
26.0,9067.0,1560000.0,Regression,0.01,29168,1529493270.0
27.0,9092.0,1570000.0,Regression,0.01,29168,1529493356.0
27.0,9121.0,1580000.0,Regression,0.01,29168,1529493442.0
28.0,9143.0,1590000.0,Regression,0.01,29168,1529493526.0
28.0,9167.0,1600000.0,Regression,0.01,29168,1529493611.0
28.0,9202.0,1610000.0,Regression,0.01,29168,1529493697.0
28.0,9236.0,1620000.0,Regression,0.01,29168,1529493781.0
28.0,9265.0,1630000.0,Regression,0.01,29168,1529493863.0
29.0,9287.0,1640000.0,Regression,0.01,29168,1529493948.0
30.0,9318.0,1650000.0,Regression,0.01,29168,1529494031.0
30.0,9350.0,1660000.0,Regression,0.01,29168,1529494116.0
30.0,9385.0,1670000.0,Regression,0.01,29168,1529494204.0
30.0,9411.0,1680000.0,Regression,0.01,29168,1529494290.0
31.0,9442.0,1690000.0,Regression,0.01,29168,1529494376.0
32.0,9470.0,1700000.0,Regression,0.01,29168,1529494462.0
33.0,9492.0,1710000.0,Regression,0.01,29168,1529494551.0
33.0,9527.0,1720000.0,Regression,0.01,29168,1529494637.0
33.0,9548.0,1730000.0,Regression,0.01,29168,1529494722.0
33.0,9576.0,1740000.0,Regression,0.01,29168,1529494810.0
33.0,9594.0,1750000.0,Regression,0.01,29168,1529494897.0
33.0,9625.0,1760000.0,Regression,0.01,29168,1529494986.0
33.0,9652.0,1770000.0,Regression,0.01,29168,1529495075.0
33.0,9670.0,1780000.0,Regression,0.01,29168,1529495164.0
33.0,9699.0,1790000.0,Regression,0.01,29168,1529495253.0
33.0,9730.0,1800000.0,Regression,0.01,29168,1529495344.0
33.0,9764.0,1810000.0,Regression,0.01,29168,1529495435.0
33.0,9786.0,1820000.0,Regression,0.01,29168,1529495529.0
33.0,9835.0,1830000.0,Regression,0.01,29168,1529495626.0
33.0,9870.0,1840000.0,Regression,0.01,29168,1529495724.0
33.0,9896.0,1850000.0,Regression,0.01,29168,1529495824.0
33.0,9931.0,1860000.0,Regression,0.01,29168,1529495927.0
33.0,9959.0,1870000.0,Regression,0.01,29168,1529496027.0
34.0,9997.0,1880000.0,Regression,0.01,29168,1529496130.0
34.0,10026.0,1890000.0,Regression,0.01,29168,1529496231.0
34.0,10055.0,1900000.0,Regression,0.01,29168,1529496335.0
36.0,10084.0,1910000.0,Regression,0.01,29168,1529496441.0
36.0,10111.0,1920000.0,Regression,0.01,29168,1529496550.0
37.0,10151.0,1930000.0,Regression,0.01,29168,1529496655.0
38.0,10176.0,1940000.0,Regression,0.01,29168,1529496762.0
39.0,10214.0,1950000.0,Regression,0.01,29168,1529496866.0
40.0,10245.0,1960000.0,Regression,0.01,29168,1529496967.0
40.0,10276.0,1970000.0,Regression,0.01,29168,1529497068.0
41.0,10306.0,1980000.0,Regression,0.01,29168,1529497168.0
41.0,10344.0,1990000.0,Regression,0.01,29168,1529497267.0
42.0,10376.0,2000000.0,Regression,0.01,29168,1529497367.0
43.0,10419.0,2010000.0,Regression,0.01,29168,1529497467.0
44.0,10448.0,2020000.0,Regression,0.01,29168,1529497571.0
45.0,10488.0,2030000.0,Regression,0.01,29168,1529497673.0
45.0,10520.0,2040000.0,Regression,0.01,29168,1529497772.0
45.0,10548.0,2050000.0,Regression,0.01,29168,1529497873.0
45.0,10586.0,2060000.0,Regression,0.01,29168,1529497977.0
45.0,10621.0,2070000.0,Regression,0.01,29168,1529498080.0
46.0,10651.0,2080000.0,Regression,0.01,29168,1529498182.0
46.0,10684.0,2090000.0,Regression,0.01,29168,1529498282.0
46.0,10706.0,2100000.0,Regression,0.01,29168,1529498384.0
47.0,10753.0,2110000.0,Regression,0.01,29168,1529498486.0
47.0,10791.0,2120000.0,Regression,0.01,29168,1529498586.0
48.0,10841.0,2130000.0,Regression,0.01,29168,1529498688.0
49.0,10869.0,2140000.0,Regression,0.01,29168,1529498786.0
49.0,10901.0,2150000.0,Regression,0.01,29168,1529498886.0
49.0,10929.0,2160000.0,Regression,0.01,29168,1529498982.0
50.0,10954.0,2170000.0,Regression,0.01,29168,1529499077.0
50.0,10980.0,2180000.0,Regression,0.01,29168,1529499170.0
50.0,11008.0,2190000.0,Regression,0.01,29168,1529499265.0
50.0,11041.0,2200000.0,Regression,0.01,29168,1529499357.0
50.0,11069.0,2210000.0,Regression,0.01,29168,1529499453.0
50.0,11087.0,2220000.0,Regression,0.01,29168,1529499550.0
50.0,11118.0,2230000.0,Regression,0.01,29168,1529499644.0
50.0,11166.0,2240000.0,Regression,0.01,29168,1529499740.0
50.0,11202.0,2250000.0,Regression,0.01,29168,1529499837.0
50.0,11242.0,2260000.0,Regression,0.01,29168,1529499935.0
50.0,11283.0,2270000.0,Regression,0.01,29168,1529500037.0
50.0,11327.0,2280000.0,Regression,0.01,29168,1529500139.0
50.0,11363.0,2290000.0,Regression,0.01,29168,1529500240.0
50.0,11403.0,2300000.0,Regression,0.01,29168,1529500341.0
50.0,11433.0,2310000.0,Regression,0.01,29168,1529500444.0
50.0,11468.0,2320000.0,Regression,0.01,29168,1529500548.0
50.0,11501.0,2330000.0,Regression,0.01,29168,1529500653.0
50.0,11544.0,2340000.0,Regression,0.01,29168,1529500754.0
50.0,11581.0,2350000.0,Regression,0.01,29168,1529500855.0
51.0,11623.0,2360000.0,Regression,0.01,29168,1529500958.0
