CampaignId,Impressions,Clicks,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,CropPercent,NormalizeTargetValue,TrainPart,RecommendationPart
866128,354400.0,628.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.0,False,0.0,0.0
865041,293835.0,585.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.0,False,0.0,0.0
858140,366147.0,306.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.0,False,0.0,0.0
847460,313124.0,765.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,False,0.0,0.0
856805,994052.0,2874.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,False,0.0,0.0
866128,369689.0,681.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,False,0.0,0.0
865041,306931.0,619.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,False,0.0,0.0
858140,372453.0,296.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,False,0.0,0.0
847460,268481.0,656.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.0,False,0.0,0.0
856805,1059326.0,2915.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.0,False,0.0,0.0
866128,360848.0,765.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.0,False,0.0,0.0
865041,307213.0,550.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.0,False,0.0,0.0
858140,377957.0,315.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.0,False,0.0,0.0
847460,277405.0,622.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,False,0.0,0.0
856805,1139746.0,2993.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,False,0.0,0.0
866128,365795.0,673.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,False,0.0,0.0
865041,316100.0,587.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,False,0.0,0.0
858140,360260.0,276.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,False,0.0,0.0
847460,282019.0,691.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.1,False,0.0,0.0
856805,883998.0,2793.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.1,False,0.0,0.0
866128,353586.0,629.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.1,False,0.0,0.0
865041,294941.0,569.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.1,False,0.0,0.0
858140,362216.0,274.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.1,False,0.0,0.0
847460,287716.0,705.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.1,False,0.0,0.0
856805,1151584.0,2944.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.1,False,0.0,0.0
866128,349575.0,668.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.1,False,0.0,0.0
