Daily,5314011,1534348800000,0,12100.0,0,0,17662.0,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Total,5314011,1534348800000,-84869,12100,-72938,-58761,17662,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Daily,5726250,1534363199000,0,0,0,0,7386.0,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Total,5726250,1534363199000,-101485,-22576,-88551,-75378,7386,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Daily,5979990,1534384801000,0,0,0,0,7346.0,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Total,5979990,1534384801000,-101557,-22745,-88676,-75422,7346,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Total,6734652,1534406401000,-126016,-59483,-130216,-95226,-4581,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Total,7863533,1534428001000,-162228,-112906,-168752,-125037,-23242,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Total,8560378,1534449599000,-195269,-159729,-197361,-151701,-39278,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.2,0.2
Daily,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Total,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Daily,919597,1534230000000,85921.0,235042.0,63438.0,68010.0,94491.0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Total,919597,1534230000000,85921,235042,63438,68010,94491,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Daily,2159970,1534251600000,37504.0,177598.0,32255.0,37148.0,73846.0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Total,2159970,1534251600000,37504,177598,32255,37148,73846,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Daily,2912107,1534273200000,1391.0,133311.0,11151.0,10065.0,59113.0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Total,2912107,1534273200000,1391,133311,11151,10065,59113,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Daily,3176462,1534283997000,0,115470.0,0,948.0,53099.0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Total,3176462,1534283997000,-11148,115470,-368,948,53099,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Daily,3361164,1534305600000,0,115393.0,0,879.0,53088.0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Total,3361164,1534305600000,-11176,115393,-457,879,53088,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Daily,4267029,1534327200000,0,61284.0,0,0,33531.0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Total,4267029,1534327200000,-41074,61284,-28459,-29127,33531,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Daily,5314011,1534348800000,0,4486.0,0,0,15250.0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Total,5314011,1534348800000,-81406,4486,-70338,-55137,15250,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Daily,5726250,1534363199000,0,0,0,0,4456.0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Total,5726250,1534363199000,-96945,-32445,-85000,-71107,4456,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Daily,5979990,1534384801000,0,0,0,0,4420.0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Total,5979990,1534384801000,-97029,-32590,-85121,-71145,4420,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Total,6734652,1534406401000,-120817,-70872,-125765,-90196,-7900,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Total,7863533,1534428001000,-156556,-125223,-163465,-119265,-26898,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Total,8560378,1534449599000,-190008,-173459,-191205,-145336,-43367,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
Daily,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Total,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Daily,919597,1534230000000,85915.0,234940.0,63510.0,68040.0,94440.0,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Total,919597,1534230000000,85915,234940,63510,68040,94440,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Daily,2159970,1534251600000,37653.0,177414.0,32462.0,37291.0,73762.0,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Total,2159970,1534251600000,37653,177414,32462,37291,73762,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Daily,2912107,1534273200000,1413.0,132706.0,11480.0,10386.0,59019.0,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Total,2912107,1534273200000,1413,132706,11480,10386,59019,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Daily,3176462,1534283997000,0,114574.0,18.0,1341.0,53044.0,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Total,3176462,1534283997000,-11214,114574,18,1341,53044,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Daily,3361164,1534305600000,0,114495.0,0,1272.0,53033.0,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Total,3361164,1534305600000,-11242,114495,-73,1272,53033,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Daily,4267029,1534327200000,0,60291.0,0,0,33527.0,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Total,4267029,1534327200000,-41585,60291,-28027,-28818,33527,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Daily,5314011,1534348800000,0,2443.0,0,0,15304.0,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Total,5314011,1534348800000,-81302,2443,-69477,-54274,15304,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Daily,5726250,1534363199000,0,0,0,0,4453.0,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Total,5726250,1534363199000,-96652,-34755,-84006,-70239,4453,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Daily,5979990,1534384801000,0,0,0,0,4413.0,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Total,5979990,1534384801000,-96732,-34904,-84133,-70279,4413,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Total,6734652,1534406401000,-120234,-73554,-124869,-89388,-8107,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Total,7863533,1534428001000,-157208,-128019,-162559,-118449,-27140,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Total,8560378,1534449599000,-190581,-176206,-190460,-144580,-43598,LinUCB_Disjoint_Multi_Mix,6,0.0001,0.0,0.2,0.2
Daily,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Total,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
