Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0
Total,7863533,1534428001000,-230090,-349056,-66242,-77090,-81230,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0
Total,8560378,1534449599000,-255769,-407774,-84829,-91650,-96491,LinUCB_Disjoint_Multi,6,0.01,0.0,0.0,0.0
Daily,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Total,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Daily,919597,1534230000000,82606.0,212346.0,75298.0,65909.0,97198.0,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Total,919597,1534230000000,82606,212346,75298,65909,97198,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Daily,2159970,1534251600000,0,127032.0,38828.0,20809.0,65229.0,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Total,2159970,1534251600000,-22285,127032,38828,20809,65229,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Daily,2912107,1534273200000,0,56078.0,21451.0,0,45700.0,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Total,2912107,1534273200000,-48664,56078,21451,-12878,45700,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Daily,3176462,1534283997000,0,33417.0,17338.0,0,40051.0,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Total,3176462,1534283997000,-65060,33417,17338,-20723,40051,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Daily,3361164,1534305600000,0,33417.0,17338.0,0,40051.0,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Total,3361164,1534305600000,-65060,33417,17338,-20723,40051,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Daily,4267029,1534327200000,0,0,0,0,6643.0,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Total,4267029,1534327200000,-114516,-39775,-9367,-34676,6643,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Daily,5314011,1534348800000,0,0,0,0,0,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Total,5314011,1534348800000,-140529,-149609,-28909,-56775,-35336,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Daily,5726250,1534363199000,0,0,0,0,0,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Total,5726250,1534363199000,-150235,-205920,-35989,-68459,-49483,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Daily,5979990,1534384801000,0,0,0,0,0,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Total,5979990,1534384801000,-150235,-205920,-35989,-68459,-49483,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Total,6734652,1534406401000,-189297,-281768,-63901,-83673,-59599,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Total,7863533,1534428001000,-229717,-394446,-86789,-103849,-84800,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
Total,8560378,1534449599000,-255930,-459636,-104946,-119798,-100004,LinUCB_Disjoint_Multi,6,0.001,0.0,0.0,0.0
