CampaignId,Impressions,Clicks,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
847460,391103.0,1062.0,LinUCB_Disjoint_Multi_Target_2,6,0.1,0.0,1,DAILY_1_False_0.2_False
856805,1212846.0,2700.0,LinUCB_Disjoint_Multi_Target_2,6,0.1,0.0,1,DAILY_1_False_0.2_False
866128,317440.0,642.0,LinUCB_Disjoint_Multi_Target_2,6,0.1,0.0,1,DAILY_1_False_0.2_False
865041,252887.0,515.0,LinUCB_Disjoint_Multi_Target_2,6,0.1,0.0,1,DAILY_1_False_0.2_False
858140,373121.0,330.0,LinUCB_Disjoint_Multi_Target_2,6,0.1,0.0,1,DAILY_1_False_0.2_False
847460,497044.0,1479.0,LinUCB_Disjoint_Multi_Target_2,6,0.1,0.0,1,DAILY_1_True_0.0_True
856805,655179.0,2287.0,LinUCB_Disjoint_Multi_Target_2,6,0.1,0.0,1,DAILY_1_True_0.0_True
866128,311536.0,586.0,LinUCB_Disjoint_Multi_Target_2,6,0.1,0.0,1,DAILY_1_True_0.0_True
865041,257173.0,561.0,LinUCB_Disjoint_Multi_Target_2,6,0.1,0.0,1,DAILY_1_True_0.0_True
858140,348119.0,328.0,LinUCB_Disjoint_Multi_Target_2,6,0.1,0.0,1,DAILY_1_True_0.0_True
847460,431097.0,499.0,Random_Multi,6,0.0,0.0,0.2,0.0
856805,1242502.0,1451.0,Random_Multi,6,0.0,0.0,0.2,0.0
866128,503702.0,564.0,Random_Multi,6,0.0,0.0,0.2,0.0
865041,415573.0,466.0,Random_Multi,6,0.0,0.0,0.2,0.0
858140,493148.0,319.0,Random_Multi,6,0.0,0.0,0.2,0.0
847460,1412792.0,2251.0,LinUCB_Disjoint,6,0.1,0.0,0.5,0.5
856805,2976262.0,5937.0,LinUCB_Disjoint,6,0.1,0.0,0.5,0.5
866128,1267125.0,2330.0,LinUCB_Disjoint,6,0.1,0.0,0.5,0.5
865041,981972.0,1586.0,LinUCB_Disjoint,6,0.1,0.0,0.5,0.5
858140,1003027.0,1262.0,LinUCB_Disjoint,6,0.1,0.0,0.5,0.5
847460,1434344.0,2285.0,LinUCB_Disjoint,6,0.01,0.0,0.5,0.5
856805,3074372.0,5971.0,LinUCB_Disjoint,6,0.01,0.0,0.5,0.5
866128,1186568.0,2250.0,LinUCB_Disjoint,6,0.01,0.0,0.5,0.5
865041,931024.0,1533.0,LinUCB_Disjoint,6,0.01,0.0,0.5,0.5
858140,1066838.0,1265.0,LinUCB_Disjoint,6,0.01,0.0,0.5,0.5
847460,1436608.0,2295.0,LinUCB_Disjoint,6,0.001,0.0,0.5,0.5
856805,3085729.0,5957.0,LinUCB_Disjoint,6,0.001,0.0,0.5,0.5
866128,1177751.0,2229.0,LinUCB_Disjoint,6,0.001,0.0,0.5,0.5
865041,924903.0,1531.0,LinUCB_Disjoint,6,0.001,0.0,0.5,0.5
858140,1075392.0,1263.0,LinUCB_Disjoint,6,0.001,0.0,0.5,0.5
847460,1186282.0,2013.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.5,0.5
856805,2435669.0,4900.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.5,0.5
866128,1419738.0,1999.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.5,0.5
865041,1132798.0,1469.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.5,0.5
858140,752387.0,1064.0,LinUCB_Disjoint_Multi_Mix,6,0.1,0.0,0.5,0.5
847460,1309168.0,2098.0,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.5,0.5
856805,2567864.0,5372.0,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.5,0.5
866128,1200743.0,1970.0,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.5,0.5
865041,968449.0,1396.0,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.5,0.5
858140,859321.0,1139.0,LinUCB_Disjoint_Multi_Mix,6,0.01,0.0,0.5,0.5
847460,1307254.0,2100.0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.5,0.5
856805,2580338.0,5373.0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.5,0.5
866128,1188542.0,1957.0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.5,0.5
865041,959205.0,1390.0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.5,0.5
858140,872328.0,1139.0,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.5,0.5
847460,155139.0,1131.0,LinUCB_Disjoint_Multi_Mix_Test,6,0.1,0.0,0.2,0.2
856805,179722.0,1195.0,LinUCB_Disjoint_Multi_Mix_Test,6,0.1,0.0,0.2,0.2
866128,101929.0,618.0,LinUCB_Disjoint_Multi_Mix_Test,6,0.1,0.0,0.2,0.2
865041,27998.0,66.0,LinUCB_Disjoint_Multi_Mix_Test,6,0.1,0.0,0.2,0.2
858140,58048.0,196.0,LinUCB_Disjoint_Multi_Mix_Test,6,0.1,0.0,0.2,0.2
