Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha
Total,5979990,1534384801000,-24262,-2783,37003,7642,21822,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Daily,6734652,1534406401000,0,0,0,1719,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Total,6734652,1534406401000,-24262,-2783,-3013,1719,-6856,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Total,7863533,1534428001000,-24262,-2783,-3013,-161707,-6856,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Total,8560378,1534449599000,-102457,-30181,-6199,-166209,-12838,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Daily,356003,1534208400000,31489,88035,36065,28837,34809,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Total,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Daily,919597,1534230000000,27863,68164,25763,23191,32309,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Total,919597,1534230000000,83590,204493,77289,69575,96929,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Daily,2159970,1534251600000,0,40005,19214,10909,19257,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Total,2159970,1534251600000,-30418,120017,57642,32729,57772,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Daily,2912107,1534273200000,0,40005,0,10909,19257,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Total,2912107,1534273200000,-30418,120017,-45347,32729,57772,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Daily,3176462,1534283997000,0,27717,0,7594,16670,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Total,3176462,1534283997000,-30418,83152,-45347,22782,50011,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Daily,3361164,1534305600000,0,41576,0,11391,25005,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Total,3361164,1534305600000,-30418,83152,-45347,22782,50011,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Daily,4267029,1534327200000,0,0,0,0,578,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Total,4267029,1534327200000,-30418,-75598,-45347,-1628,1157,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Daily,5314011,1534348800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Total,5314011,1534348800000,-81906,-120288,-97309,-8391,-20665,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Daily,5726250,1534363199000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Total,5726250,1534363199000,-90661,-165799,-105128,-19939,-33879,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Daily,5979990,1534384801000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Total,5979990,1534384801000,-90661,-165799,-105128,-19939,-33879,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Total,6734652,1534406401000,-137896,-229858,-124292,-36402,-43120,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Total,7863533,1534428001000,-187265,-327428,-146497,-63060,-63699,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Total,8560378,1534449599000,-213417,-381533,-159972,-86113,-78760,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,DAILY,2
Daily,356003,1534208400000,39362,110044,45081,36046,43511,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Total,356003,1534208400000,118086,330134,135244,108140,130534,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Daily,919597,1534230000000,35720,90238,34777,30388,41008,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Total,919597,1534230000000,107161,270714,104332,91164,123026,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Daily,2159970,1534251600000,0,61274,26543,18413,28698,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Total,2159970,1534251600000,-3543,183822,79630,55240,86094,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Daily,2912107,1534273200000,0,30091,15256,18413,19245,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Total,2912107,1534273200000,-3543,90275,45770,55240,57735,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Daily,3176462,1534283997000,0,30091,15256,7222,17370,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Total,3176462,1534283997000,-3543,90275,45770,21668,52110,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Daily,3361164,1534305600000,0,45137,22885,10834,26055,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Total,3361164,1534305600000,-3543,90275,45770,21668,52110,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Daily,4267029,1534327200000,0,0,4998,6495,8237,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Total,4267029,1534327200000,-3543,-67819,9996,12991,16474,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Daily,5314011,1534348800000,0,0,4998,0,8237,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Total,5314011,1534348800000,-3543,-67819,9996,-131127,16474,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Daily,5726250,1534363199000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Total,5726250,1534363199000,-3543,-67819,-9366,-131127,-21690,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Daily,5979990,1534384801000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Total,5979990,1534384801000,-3543,-67819,-9366,-131127,-21690,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Total,6734652,1534406401000,-56615,-121282,-34674,-147438,-32362,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Total,7863533,1534428001000,-118461,-238710,-53546,-167389,-49718,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Total,8560378,1534449599000,-146909,-309152,-77001,-176818,-65386,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,DAILY,2
Daily,356003,1534208400000,31489,88035,36065,28837,34809,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Total,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Daily,919597,1534230000000,27873,67433,24920,22638,32459,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Total,919597,1534230000000,83620,202300,74762,67915,97378,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Daily,2159970,1534251600000,0,36265,16213,7157,19892,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Total,2159970,1534251600000,-27028,108795,48641,21472,59676,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Daily,2912107,1534273200000,0,12115,9668,0,13078,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Total,2912107,1534273200000,-53712,36347,29004,-9098,39236,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Daily,3176462,1534283997000,0,4436,8214,0,11019,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Total,3176462,1534283997000,-69238,13309,24642,-16308,33057,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Daily,3361164,1534305600000,0,6654,12321,0,16528,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Total,3361164,1534305600000,-69238,13309,24642,-16308,33057,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Daily,4267029,1534327200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Total,4267029,1534327200000,-69684,-136576,-21674,-16308,-26245,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Daily,5314011,1534348800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Total,5314011,1534348800000,-122820,-199251,-40549,-40410,-59446,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Daily,5726250,1534363199000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Total,5726250,1534363199000,-132094,-250015,-48764,-53749,-72107,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Daily,5979990,1534384801000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Total,5979990,1534384801000,-132094,-250015,-48764,-53749,-72107,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Total,6734652,1534406401000,-178528,-328954,-77261,-64280,-85084,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Total,7863533,1534428001000,-218393,-451964,-101486,-81427,-112190,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Total,8560378,1534449599000,-242628,-519287,-117963,-99149,-130270,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,2
Daily,356003,1534208400000,39362,110044,45081,36046,43511,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Total,356003,1534208400000,118086,330134,135244,108140,130534,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Daily,919597,1534230000000,35743,89517,33939,29833,41160,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Total,919597,1534230000000,107229,268553,101817,89501,123481,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Daily,2159970,1534251600000,9,57828,23150,15292,29354,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Total,2159970,1534251600000,28,173484,69452,45876,88064,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Daily,2912107,1534273200000,0,57145,9220,15289,3942,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Total,2912107,1534273200000,-394,171435,27660,45868,11828,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Daily,3176462,1534283997000,0,42647,9212,8888,3942,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Total,3176462,1534283997000,-585,127941,27638,26666,11828,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Daily,3361164,1534305600000,0,63970,13819,13333,5914,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Total,3361164,1534305600000,-585,127941,27638,26666,11828,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Daily,4267029,1534327200000,0,0,0,7574,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Total,4267029,1534327200000,-1173,-32536,-18630,15149,-18051,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Daily,5314011,1534348800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Total,5314011,1534348800000,-16778,-51788,-20437,-103310,-18878,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Daily,5726250,1534363199000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Total,5726250,1534363199000,-28215,-102583,-28698,-123452,-27276,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Daily,5979990,1534384801000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Total,5979990,1534384801000,-28215,-102583,-28698,-123452,-27276,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Total,6734652,1534406401000,-72886,-190810,-59320,-144945,-32203,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Total,7863533,1534428001000,-130047,-301161,-89616,-170661,-73444,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Total,8560378,1534449599000,-157121,-359777,-114492,-183151,-104700,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,2
Daily,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Total,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Daily,919597,1534230000000,82052.0,232484.0,92129.0,79483.0,94923.0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Total,919597,1534230000000,82052,232484,92129,79483,94923,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Daily,2159970,1534251600000,0,193744.0,87010.0,70204.0,70909.0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Total,2159970,1534251600000,-54924,193744,87010,70204,70909,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Daily,2912107,1534273200000,0,144354.0,77755.0,51287.0,46813.0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Total,2912107,1534273200000,-54924,144354,77755,51287,46813,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Daily,3176462,1534283997000,0,124640.0,73989.0,47354.0,41810.0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Total,3176462,1534283997000,-54924,124640,73989,47354,41810,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Daily,3361164,1534305600000,0,124640.0,73989.0,47354.0,41810.0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Total,3361164,1534305600000,-54924,124640,73989,47354,41810,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Daily,4267029,1534327200000,0,50627.0,46102.0,27398.0,12180.0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Total,4267029,1534327200000,-54924,50627,46102,27398,12180,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Daily,5314011,1534348800000,0,0,27627.0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Total,5314011,1534348800000,-54924,-1718,27627,-8067,-7971,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Daily,5726250,1534363199000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Total,5726250,1534363199000,-54924,-1718,-41512,-8067,-7971,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Daily,5979990,1534384801000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Total,5979990,1534384801000,-54924,-1718,-41512,-8067,-7971,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Total,6734652,1534406401000,-109089,-28092,-49985,-14089,-16926,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Total,7863533,1534428001000,-160541,-87117,-57369,-25999,-38690,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Total,8560378,1534449599000,-185762,-117218,-62360,-39058,-55415,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,NO_SPLIT,1
Daily,356003,1534208400000,118086,330134,135244,108140,130534,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,356003,1534208400000,118086,330134,135244,108140,130534,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,919597,1534230000000,105663.0,298575.0,119188.0,101103.0,121030.0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,919597,1534230000000,105663,298575,119188,101103,121030,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,2159970,1534251600000,0,259750.0,114037.0,91854.0,97171.0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,2159970,1534251600000,-31485,259750,114037,91854,97171,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,2912107,1534273200000,0,210053.0,104959.0,73483.0,72689.0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,2912107,1534273200000,-31485,210053,104959,73483,72689,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,3176462,1534283997000,0,190637.0,101297.0,69408.0,67469.0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,3176462,1534283997000,-31485,190637,101297,69408,67469,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,3361164,1534305600000,0,190637.0,101297.0,69408.0,67469.0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,3361164,1534305600000,-31485,190637,101297,69408,67469,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,4267029,1534327200000,0,114900.0,74182.0,49014.0,37484.0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,4267029,1534327200000,-31485,114900,74182,49014,37484,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,5314011,1534348800000,0,59443.0,58392.0,20158.0,10620.0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,5314011,1534348800000,-31485,59443,58392,20158,10620,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,5726250,1534363199000,0,20237.0,47676.0,9777.0,3477.0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,5726250,1534363199000,-31485,20237,47676,9777,3477,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,5979990,1534384801000,0,20237.0,47676.0,9777.0,3477.0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,5979990,1534384801000,-31485,20237,47676,9777,3477,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,6734652,1534406401000,0,0,0,1604.0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,6734652,1534406401000,-31485,-36025,-14276,1604,-900,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,7863533,1534428001000,-31485,-36025,-14276,-161822,-900,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Total,8560378,1534449599000,-126083,-58940,-18926,-165609,-3737,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
Daily,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Total,356003,1534208400000,94469,264107,108195,86512,104427,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Daily,919597,1534230000000,82989.0,210863.0,77587.0,68406.0,96802.0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Total,919597,1534230000000,82989,210863,77587,68406,96802,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Daily,2159970,1534251600000,0,127784.0,48199.0,31253.0,63498.0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Total,2159970,1534251600000,-25269,127784,48199,31253,63498,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Daily,2912107,1534273200000,0,34925.0,31032.0,2498.0,37715.0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Total,2912107,1534273200000,-25298,34925,31032,2498,37715,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Daily,3176462,1534283997000,0,5074.0,25424.0,0,29907.0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Total,3176462,1534283997000,-25466,5074,25424,-2422,29907,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Daily,3361164,1534305600000,0,5074.0,25424.0,0,29907.0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Total,3361164,1534305600000,-25466,5074,25424,-2422,29907,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Daily,4267029,1534327200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Total,4267029,1534327200000,-26164,-109618,-22931,-2422,-34662,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Daily,5314011,1534348800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Total,5314011,1534348800000,-73028,-180950,-39753,-27915,-59472,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Daily,5726250,1534363199000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Total,5726250,1534363199000,-83817,-229432,-49681,-37475,-69294,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Daily,5979990,1534384801000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Total,5979990,1534384801000,-83817,-229432,-49681,-37475,-69294,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Total,6734652,1534406401000,-134209,-299573,-80687,-47766,-73869,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Total,7863533,1534428001000,-186253,-416265,-102742,-63287,-91535,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Total,8560378,1534449599000,-215561,-482870,-117856,-78268,-105836,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,0.8,NO_SPLIT,1
Daily,356003,1534208400000,118086,330134,135244,108140,130534,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,NO_SPLIT,1
Total,356003,1534208400000,118086,330134,135244,108140,130534,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,NO_SPLIT,1
Daily,919597,1534230000000,106594.0,276924.0,104638.0,90026.0,122909.0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,NO_SPLIT,1
Total,919597,1534230000000,106594,276924,104638,90026,122909,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,NO_SPLIT,1
Daily,2159970,1534251600000,0,193901.0,75135.0,52781.0,89696.0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,NO_SPLIT,1
Total,2159970,1534251600000,-1604,193901,75135,52781,89696,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,NO_SPLIT,1
Daily,2912107,1534273200000,0,101427.0,57996.0,23562.0,64452.0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,NO_SPLIT,1
Total,2912107,1534273200000,-1629,101427,57996,23562,64452,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,NO_SPLIT,1
Daily,3176462,1534283997000,0,71882.0,53226.0,17098.0,57271.0,LinUCB_Disjoint_Multi_Target,6,0.01,0.0,1,NO_SPLIT,1
