CampaignId,Impressions,Clicks,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
866128,225935.0,243.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT_1_True
865041,209938.0,324.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT_1_True
858140,214902.0,139.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT_1_True
847460,276786.0,400.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY_1_False
856805,872716.0,1594.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY_1_False
866128,233403.0,246.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY_1_False
865041,196795.0,306.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY_1_False
858140,202165.0,116.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY_1_False
847460,266067.0,386.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT_1_False
856805,904679.0,1636.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT_1_False
866128,230936.0,252.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT_1_False
865041,201611.0,318.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT_1_False
858140,198941.0,112.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT_1_False
847460,231525.0,210.0,Random_Multi,6,0.0,0.0,0.2,0.0
856805,598004.0,596.0,Random_Multi,6,0.0,0.0,0.2,0.0
866128,251566.0,253.0,Random_Multi,6,0.0,0.0,0.2,0.0
865041,229627.0,192.0,Random_Multi,6,0.0,0.0,0.2,0.0
858140,241916.0,131.0,Random_Multi,6,0.0,0.0,0.2,0.0
847460,292846.0,530.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
856805,359010.0,914.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
866128,118534.0,170.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
865041,133282.0,268.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
858140,159965.0,106.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
